Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weather Station IDs,Longitude Instance,Latitude Instance
ITE00100554,236,182,418,,,,,,45.4717,9.1892
17710918,219,189,408,,,,,,#N/A,#N/A
ITE00100554,219,189,408,,,,,,45.4717,9.1892
17710919,219,189,408,,,,,,#N/A,#N/A
ITE00100554,219,189,408,,,,,,45.4717,9.1892
17710920,232,178,410,,,,,,#N/A,#N/A
ITE00100554,232,178,410,,,,,,45.4717,9.1892
17710921,222,178,400,,,,,,#N/A,#N/A
ITE00100554,222,178,400,,,,,,45.4717,9.1892
17710922,212,168,380,,,,,,#N/A,#N/A
ITE00100554,212,168,380,,,,,,45.4717,9.1892
17710923,211,167,378,,,,,,#N/A,#N/A
ITE00100554,211,167,378,,,,,,45.4717,9.1892
17710924,194,152,346,,,,,,#N/A,#N/A
ITE00100554,194,152,346,,,,,,45.4717,9.1892
17710925,195,131,326,,,,,,#N/A,#N/A
ITE00100554,195,131,326,,,,,,45.4717,9.1892
17710926,212,150,362,,,,,,#N/A,#N/A
ITE00100554,212,150,362,,,,,,45.4717,9.1892
17710927,180,152,332,,,,,,#N/A,#N/A
ITE00100554,180,152,332,,,,,,45.4717,9.1892
17710928,189,127,316,,,,,,#N/A,#N/A
ITE00100554,189,127,316,,,,,,45.4717,9.1892
17710929,185,135,320,,,,,,#N/A,#N/A
ITE00100554,185,135,320,,,,,,45.4717,9.1892
17710930,180,140,320,,,,,,#N/A,#N/A
ITE00100554,180,140,320,,,,,,45.4717,9.1892
17711001,186,136,322,,,,,,#N/A,#N/A
ITE00100554,186,136,322,,,,,,45.4717,9.1892
17711002,180,140,320,,,,,,#N/A,#N/A
ITE00100554,180,140,320,,,,,,45.4717,9.1892
17711003,178,130,308,,,,,,#N/A,#N/A
ITE00100554,178,130,308,,,,,,45.4717,9.1892
17711004,158,130,288,,,,,,#N/A,#N/A
ITE00100554,158,130,288,,,,,,45.4717,9.1892
17711005,183,125,308,,,,,,#N/A,#N/A
ITE00100554,183,125,308,,,,,,45.4717,9.1892
17711006,164,116,280,,,,,,#N/A,#N/A
ITE00100554,164,116,280,,,,,,45.4717,9.1892
17711007,156,110,266,,,,,,#N/A,#N/A
ITE00100554,156,110,266,,,,,,45.4717,9.1892
17711008,151,105,256,,,,,,#N/A,#N/A
ITE00100554,151,105,256,,,,,,45.4717,9.1892
17711009,182,136,318,,,,,,#N/A,#N/A
ITE00100554,182,136,318,,,,,,45.4717,9.1892
17711010,188,142,330,,,,,,#N/A,#N/A
ITE00100554,188,142,330,,,,,,45.4717,9.1892
17711011,185,141,326,,,,,,#N/A,#N/A
ITE00100554,185,141,326,,,,,,45.4717,9.1892
17711012,193,157,350,,,,,,#N/A,#N/A
ITE00100554,193,157,350,,,,,,45.4717,9.1892
17711013,178,154,332,,,,,,#N/A,#N/A
ITE00100554,178,154,332,,,,,,45.4717,9.1892
17711014,184,148,332,,,,,,#N/A,#N/A
ITE00100554,184,148,332,,,,,,45.4717,9.1892
17711015,186,150,336,,,,,,#N/A,#N/A
ITE00100554,186,150,336,,,,,,45.4717,9.1892
17711016,179,137,316,,,,,,#N/A,#N/A
ITE00100554,179,137,316,,,,,,45.4717,9.1892
17711017,157,105,262,,,,,,#N/A,#N/A
ITE00100554,157,105,262,,,,,,45.4717,9.1892
17711018,157,115,272,,,,,,#N/A,#N/A
ITE00100554,157,115,272,,,,,,45.4717,9.1892
17711019,159,117,276,,,,,,#N/A,#N/A
ITE00100554,159,117,276,,,,,,45.4717,9.1892
17711020,151,101,252,,,,,,#N/A,#N/A
ITE00100554,151,101,252,,,,,,45.4717,9.1892
17711021,163,113,276,,,,,,#N/A,#N/A
ITE00100554,163,113,276,,,,,,45.4717,9.1892
17711022,162,114,276,,,,,,#N/A,#N/A
ITE00100554,162,114,276,,,,,,45.4717,9.1892
17711023,158,110,268,,,,,,#N/A,#N/A
ITE00100554,158,110,268,,,,,,45.4717,9.1892
17711024,144,106,250,,,,,,#N/A,#N/A
ITE00100554,144,106,250,,,,,,45.4717,9.1892
17711025,172,124,296,,,,,,#N/A,#N/A
ITE00100554,172,124,296,,,,,,45.4717,9.1892
17711026,154,108,262,,,,,,#N/A,#N/A
ITE00100554,154,108,262,,,,,,45.4717,9.1892
17711027,159,121,280,,,,,,#N/A,#N/A
ITE00100554,159,121,280,,,,,,45.4717,9.1892
17711028,131,85,216,,,,,,#N/A,#N/A
ITE00100554,131,85,216,,,,,,45.4717,9.1892
17711029,148,104,252,,,,,,#N/A,#N/A
ITE00100554,148,104,252,,,,,,45.4717,9.1892
17711030,137,93,230,,,,,,#N/A,#N/A
ITE00100554,137,93,230,,,,,,45.4717,9.1892
17711031,127,83,210,,,,,,#N/A,#N/A
ITE00100554,127,83,210,,,,,,45.4717,9.1892
17711101,128,84,212,,,,,,#N/A,#N/A
ITE00100554,128,84,212,,,,,,45.4717,9.1892
17711102,117,75,192,,,,,,#N/A,#N/A
ITE00100554,117,75,192,,,,,,45.4717,9.1892
17711103,126,84,210,,,,,,#N/A,#N/A
ITE00100554,126,84,210,,,,,,45.4717,9.1892
17711104,141,107,248,,,,,,#N/A,#N/A
ITE00100554,141,107,248,,,,,,45.4717,9.1892
17711105,116,96,212,,,,,,#N/A,#N/A
ITE00100554,116,96,212,,,,,,45.4717,9.1892
17711106,96,56,152,,,,,,#N/A,#N/A
ITE00100554,96,56,152,,,,,,45.4717,9.1892
17711107,80,40,120,,,,,,#N/A,#N/A
ITE00100554,80,40,120,,,,,,45.4717,9.1892
17711108,74,34,108,,,,,,#N/A,#N/A
ITE00100554,74,34,108,,,,,,45.4717,9.1892
17711109,83,43,126,,,,,,#N/A,#N/A
ITE00100554,83,43,126,,,,,,45.4717,9.1892
17711110,62,24,86,,,,,,#N/A,#N/A
ITE00100554,62,24,86,,,,,,45.4717,9.1892
17711111,57,19,76,,,,,,#N/A,#N/A
ITE00100554,57,19,76,,,,,,45.4717,9.1892
17711112,63,25,88,,,,,,#N/A,#N/A
ITE00100554,63,25,88,,,,,,45.4717,9.1892
17711113,69,31,100,,,,,,#N/A,#N/A
ITE00100554,69,31,100,,,,,,45.4717,9.1892
17711114,78,60,138,,,,,,#N/A,#N/A
ITE00100554,78,60,138,,,,,,45.4717,9.1892
17711115,103,67,170,,,,,,#N/A,#N/A
ITE00100554,103,67,170,,,,,,45.4717,9.1892
17711116,77,41,118,,,,,,#N/A,#N/A
ITE00100554,77,41,118,,,,,,45.4717,9.1892
17711117,51,15,66,,,,,,#N/A,#N/A
ITE00100554,51,15,66,,,,,,45.4717,9.1892
17711118,52,24,76,,,,,,#N/A,#N/A
ITE00100554,52,24,76,,,,,,45.4717,9.1892
17711119,86,52,138,,,,,,#N/A,#N/A
ITE00100554,86,52,138,,,,,,45.4717,9.1892
17711120,70,36,106,,,,,,#N/A,#N/A
ITE00100554,70,36,106,,,,,,45.4717,9.1892
17711121,68,40,108,,,,,,#N/A,#N/A
ITE00100554,68,40,108,,,,,,45.4717,9.1892
17711122,61,27,88,,,,,,#N/A,#N/A
ITE00100554,61,27,88,,,,,,45.4717,9.1892
17711123,57,23,80,,,,,,#N/A,#N/A
ITE00100554,57,23,80,,,,,,45.4717,9.1892
17711124,86,52,138,,,,,,#N/A,#N/A
ITE00100554,86,52,138,,,,,,45.4717,9.1892
17711125,57,31,88,,,,,,#N/A,#N/A
ITE00100554,57,31,88,,,,,,45.4717,9.1892
17711126,55,23,78,,,,,,#N/A,#N/A
ITE00100554,55,23,78,,,,,,45.4717,9.1892
17711127,41,9,50,,,,,,#N/A,#N/A
ITE00100554,41,9,50,,,,,,45.4717,9.1892
17711128,44,12,56,,,,,,#N/A,#N/A
ITE00100554,44,12,56,,,,,,45.4717,9.1892
17711129,36,4,40,,,,,,#N/A,#N/A
ITE00100554,36,4,40,,,,,,45.4717,9.1892
17711130,37,5,42,,,,,,#N/A,#N/A
ITE00100554,37,5,42,,,,,,45.4717,9.1892
17711201,25,-7,18,,,,,,#N/A,#N/A
ITE00100554,25,-7,18,,,,,,45.4717,9.1892
17711202,48,28,76,,,,,,#N/A,#N/A
ITE00100554,48,28,76,,,,,,45.4717,9.1892
17711203,60,40,100,,,,,,#N/A,#N/A
ITE00100554,60,40,100,,,,,,45.4717,9.1892
17711204,66,46,112,,,,,,#N/A,#N/A
ITE00100554,66,46,112,,,,,,45.4717,9.1892
17711205,70,50,120,,,,,,#N/A,#N/A
ITE00100554,70,50,120,,,,,,45.4717,9.1892
17711206,79,59,138,,,,,,#N/A,#N/A
ITE00100554,79,59,138,,,,,,45.4717,9.1892
17711207,83,63,146,,,,,,#N/A,#N/A
ITE00100554,83,63,146,,,,,,45.4717,9.1892
17711208,88,74,162,,,,,,#N/A,#N/A
ITE00100554,88,74,162,,,,,,45.4717,9.1892
17711209,85,71,156,,,,,,#N/A,#N/A
ITE00100554,85,71,156,,,,,,45.4717,9.1892
17711210,86,72,158,,,,,,#N/A,#N/A
ITE00100554,86,72,158,,,,,,45.4717,9.1892
17711211,98,78,176,,,,,,#N/A,#N/A
ITE00100554,98,78,176,,,,,,45.4717,9.1892
17711212,89,69,158,,,,,,#N/A,#N/A
ITE00100554,89,69,158,,,,,,45.4717,9.1892
17711213,67,53,120,,,,,,#N/A,#N/A
ITE00100554,67,53,120,,,,,,45.4717,9.1892
17711214,81,67,148,,,,,,#N/A,#N/A
ITE00100554,81,67,148,,,,,,45.4717,9.1892
17711215,91,71,162,,,,,,#N/A,#N/A
ITE00100554,91,71,162,,,,,,45.4717,9.1892
17711216,82,68,150,,,,,,#N/A,#N/A
ITE00100554,82,68,150,,,,,,45.4717,9.1892
17711217,72,58,130,,,,,,#N/A,#N/A
ITE00100554,72,58,130,,,,,,45.4717,9.1892
17711218,47,33,80,,,,,,#N/A,#N/A
ITE00100554,47,33,80,,,,,,45.4717,9.1892
17711219,63,49,112,,,,,,#N/A,#N/A
ITE00100554,63,49,112,,,,,,45.4717,9.1892
17711220,67,39,106,,,,,,#N/A,#N/A
ITE00100554,67,39,106,,,,,,45.4717,9.1892
17711221,64,36,100,,,,,,#N/A,#N/A
ITE00100554,64,36,100,,,,,,45.4717,9.1892
17711222,51,37,88,,,,,,#N/A,#N/A
ITE00100554,51,37,88,,,,,,45.4717,9.1892
17711223,41,21,62,,,,,,#N/A,#N/A
ITE00100554,41,21,62,,,,,,45.4717,9.1892
17711224,25,5,30,,,,,,#N/A,#N/A
ITE00100554,25,5,30,,,,,,45.4717,9.1892
17711225,38,24,62,,,,,,#N/A,#N/A
ITE00100554,38,24,62,,,,,,45.4717,9.1892
17711226,50,30,80,,,,,,#N/A,#N/A
ITE00100554,50,30,80,,,,,,45.4717,9.1892
17711227,61,31,92,,,,,,#N/A,#N/A
ITE00100554,61,31,92,,,,,,45.4717,9.1892
17711228,40,16,56,,,,,,#N/A,#N/A
ITE00100554,40,16,56,,,,,,45.4717,9.1892
17711229,31,11,42,,,,,,#N/A,#N/A
ITE00100554,31,11,42,,,,,,45.4717,9.1892
17711230,66,46,112,,,,,,#N/A,#N/A
ITE00100554,66,46,112,,,,,,45.4717,9.1892
17711231,66,46,112,,,,,,#N/A,#N/A
ITE00100554,66,46,112,,,,,,45.4717,9.1892
Grand Total,56923,39621,96544,,,,,,#N/A,#N/A
