Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weather Stations,Longitude Instance,Latitude Instance
ITE00100554,221,167,388,,,,,,45.4717,9.1892
17640918,219,153,372,,,,,,#N/A,#N/A
ITE00100554,219,153,372,,,,,,45.4717,9.1892
17640919,173,119,292,,,,,,#N/A,#N/A
ITE00100554,173,119,292,,,,,,45.4717,9.1892
17640920,165,111,276,,,,,,#N/A,#N/A
ITE00100554,165,111,276,,,,,,45.4717,9.1892
17640921,156,102,258,,,,,,#N/A,#N/A
ITE00100554,156,102,258,,,,,,45.4717,9.1892
17640922,170,106,276,,,,,,#N/A,#N/A
ITE00100554,170,106,276,,,,,,45.4717,9.1892
17640923,176,112,288,,,,,,#N/A,#N/A
ITE00100554,176,112,288,,,,,,45.4717,9.1892
17640924,201,137,338,,,,,,#N/A,#N/A
ITE00100554,201,137,338,,,,,,45.4717,9.1892
17640925,164,112,276,,,,,,#N/A,#N/A
ITE00100554,164,112,276,,,,,,45.4717,9.1892
17640926,151,99,250,,,,,,#N/A,#N/A
ITE00100554,151,99,250,,,,,,45.4717,9.1892
17640927,165,115,280,,,,,,#N/A,#N/A
ITE00100554,165,115,280,,,,,,45.4717,9.1892
17640928,159,117,276,,,,,,#N/A,#N/A
ITE00100554,159,117,276,,,,,,45.4717,9.1892
17640929,130,88,218,,,,,,#N/A,#N/A
ITE00100554,130,88,218,,,,,,45.4717,9.1892
17640930,126,76,202,,,,,,#N/A,#N/A
ITE00100554,126,76,202,,,,,,45.4717,9.1892
17641001,89,61,150,,,,,,#N/A,#N/A
ITE00100554,89,61,150,,,,,,45.4717,9.1892
17641002,136,76,212,,,,,,#N/A,#N/A
ITE00100554,136,76,212,,,,,,45.4717,9.1892
17641003,144,84,228,,,,,,#N/A,#N/A
ITE00100554,144,84,228,,,,,,45.4717,9.1892
17641004,149,91,240,,,,,,#N/A,#N/A
ITE00100554,149,91,240,,,,,,45.4717,9.1892
17641005,169,121,290,,,,,,#N/A,#N/A
ITE00100554,169,121,290,,,,,,45.4717,9.1892
17641006,173,115,288,,,,,,#N/A,#N/A
ITE00100554,173,115,288,,,,,,45.4717,9.1892
17641007,167,121,288,,,,,,#N/A,#N/A
ITE00100554,167,121,288,,,,,,45.4717,9.1892
17641008,169,143,312,,,,,,#N/A,#N/A
ITE00100554,169,143,312,,,,,,45.4717,9.1892
17641009,181,125,306,,,,,,#N/A,#N/A
ITE00100554,181,125,306,,,,,,45.4717,9.1892
17641010,182,136,318,,,,,,#N/A,#N/A
ITE00100554,182,136,318,,,,,,45.4717,9.1892
17641011,180,126,306,,,,,,#N/A,#N/A
ITE00100554,180,126,306,,,,,,45.4717,9.1892
17641012,181,137,318,,,,,,#N/A,#N/A
ITE00100554,181,137,318,,,,,,45.4717,9.1892
17641013,158,134,292,,,,,,#N/A,#N/A
ITE00100554,158,134,292,,,,,,45.4717,9.1892
17641014,140,116,256,,,,,,#N/A,#N/A
ITE00100554,140,116,256,,,,,,45.4717,9.1892
17641015,149,113,262,,,,,,#N/A,#N/A
ITE00100554,149,113,262,,,,,,45.4717,9.1892
17641016,146,110,256,,,,,,#N/A,#N/A
ITE00100554,146,110,256,,,,,,45.4717,9.1892
17641017,140,116,256,,,,,,#N/A,#N/A
ITE00100554,140,116,256,,,,,,45.4717,9.1892
17641018,159,117,276,,,,,,#N/A,#N/A
ITE00100554,159,117,276,,,,,,45.4717,9.1892
17641019,175,125,300,,,,,,#N/A,#N/A
ITE00100554,175,125,300,,,,,,45.4717,9.1892
17641020,160,110,270,,,,,,#N/A,#N/A
ITE00100554,160,110,270,,,,,,45.4717,9.1892
17641021,170,130,300,,,,,,#N/A,#N/A
ITE00100554,170,130,300,,,,,,45.4717,9.1892
17641022,146,106,252,,,,,,#N/A,#N/A
ITE00100554,146,106,252,,,,,,45.4717,9.1892
17641023,159,119,278,,,,,,#N/A,#N/A
ITE00100554,159,119,278,,,,,,45.4717,9.1892
17641024,136,104,240,,,,,,#N/A,#N/A
ITE00100554,136,104,240,,,,,,45.4717,9.1892
17641025,117,79,196,,,,,,#N/A,#N/A
ITE00100554,117,79,196,,,,,,45.4717,9.1892
17641026,71,49,120,,,,,,#N/A,#N/A
ITE00100554,71,49,120,,,,,,45.4717,9.1892
17641027,79,33,112,,,,,,#N/A,#N/A
ITE00100554,79,33,112,,,,,,45.4717,9.1892
17641028,68,38,106,,,,,,#N/A,#N/A
ITE00100554,68,38,106,,,,,,45.4717,9.1892
17641029,85,41,126,,,,,,#N/A,#N/A
ITE00100554,85,41,126,,,,,,45.4717,9.1892
17641030,85,41,126,,,,,,#N/A,#N/A
ITE00100554,85,41,126,,,,,,45.4717,9.1892
17641031,71,41,112,,,,,,#N/A,#N/A
ITE00100554,71,41,112,,,,,,45.4717,9.1892
17641101,210,190,400,,,,,,#N/A,#N/A
ITE00100554,210,190,400,,,,,,45.4717,9.1892
17641102,85,57,142,,,,,,#N/A,#N/A
ITE00100554,85,57,142,,,,,,45.4717,9.1892
17641103,84,42,126,,,,,,#N/A,#N/A
ITE00100554,84,42,126,,,,,,45.4717,9.1892
17641104,72,44,116,,,,,,#N/A,#N/A
ITE00100554,72,44,116,,,,,,45.4717,9.1892
17641105,72,30,102,,,,,,#N/A,#N/A
ITE00100554,72,30,102,,,,,,45.4717,9.1892
17641106,75,41,116,,,,,,#N/A,#N/A
ITE00100554,75,41,116,,,,,,45.4717,9.1892
17641107,85,53,138,,,,,,#N/A,#N/A
ITE00100554,85,53,138,,,,,,45.4717,9.1892
17641108,83,43,126,,,,,,#N/A,#N/A
ITE00100554,83,43,126,,,,,,45.4717,9.1892
17641109,79,47,126,,,,,,#N/A,#N/A
ITE00100554,79,47,126,,,,,,45.4717,9.1892
17641110,91,65,156,,,,,,#N/A,#N/A
ITE00100554,91,65,156,,,,,,45.4717,9.1892
17641111,114,82,196,,,,,,#N/A,#N/A
ITE00100554,114,82,196,,,,,,45.4717,9.1892
17641112,94,64,158,,,,,,#N/A,#N/A
ITE00100554,94,64,158,,,,,,45.4717,9.1892
17641113,94,68,162,,,,,,#N/A,#N/A
ITE00100554,94,68,162,,,,,,45.4717,9.1892
17641114,79,41,120,,,,,,#N/A,#N/A
ITE00100554,79,41,120,,,,,,45.4717,9.1892
17641115,73,49,122,,,,,,#N/A,#N/A
ITE00100554,73,49,122,,,,,,45.4717,9.1892
17641116,52,36,88,,,,,,#N/A,#N/A
ITE00100554,52,36,88,,,,,,45.4717,9.1892
17641117,49,33,82,,,,,,#N/A,#N/A
ITE00100554,49,33,82,,,,,,45.4717,9.1892
17641118,69,53,122,,,,,,#N/A,#N/A
ITE00100554,69,53,122,,,,,,45.4717,9.1892
17641119,91,75,166,,,,,,#N/A,#N/A
ITE00100554,91,75,166,,,,,,45.4717,9.1892
17641120,88,72,160,,,,,,#N/A,#N/A
ITE00100554,88,72,160,,,,,,45.4717,9.1892
17641121,92,70,162,,,,,,#N/A,#N/A
ITE00100554,92,70,162,,,,,,45.4717,9.1892
17641122,86,70,156,,,,,,#N/A,#N/A
ITE00100554,86,70,156,,,,,,45.4717,9.1892
17641123,82,66,148,,,,,,#N/A,#N/A
ITE00100554,82,66,148,,,,,,45.4717,9.1892
17641124,86,70,156,,,,,,#N/A,#N/A
ITE00100554,86,70,156,,,,,,45.4717,9.1892
17641125,86,70,156,,,,,,#N/A,#N/A
ITE00100554,86,70,156,,,,,,45.4717,9.1892
17641126,89,73,162,,,,,,#N/A,#N/A
ITE00100554,89,73,162,,,,,,45.4717,9.1892
17641127,93,79,172,,,,,,#N/A,#N/A
ITE00100554,93,79,172,,,,,,45.4717,9.1892
17641128,94,72,166,,,,,,#N/A,#N/A
ITE00100554,94,72,166,,,,,,45.4717,9.1892
17641129,76,54,130,,,,,,#N/A,#N/A
ITE00100554,76,54,130,,,,,,45.4717,9.1892
17641130,76,50,126,,,,,,#N/A,#N/A
ITE00100554,76,50,126,,,,,,45.4717,9.1892
17641201,58,44,102,,,,,,#N/A,#N/A
ITE00100554,58,44,102,,,,,,45.4717,9.1892
17641202,75,61,136,,,,,,#N/A,#N/A
ITE00100554,75,61,136,,,,,,45.4717,9.1892
17641203,78,54,132,,,,,,#N/A,#N/A
ITE00100554,78,54,132,,,,,,45.4717,9.1892
17641204,60,30,90,,,,,,#N/A,#N/A
ITE00100554,60,30,90,,,,,,45.4717,9.1892
17641205,70,50,120,,,,,,#N/A,#N/A
ITE00100554,70,50,120,,,,,,45.4717,9.1892
17641206,66,46,112,,,,,,#N/A,#N/A
ITE00100554,66,46,112,,,,,,45.4717,9.1892
17641207,56,42,98,,,,,,#N/A,#N/A
ITE00100554,56,42,98,,,,,,45.4717,9.1892
17641208,80,50,130,,,,,,#N/A,#N/A
ITE00100554,80,50,130,,,,,,45.4717,9.1892
17641209,74,44,118,,,,,,#N/A,#N/A
ITE00100554,74,44,118,,,,,,45.4717,9.1892
17641210,50,26,76,,,,,,#N/A,#N/A
ITE00100554,50,26,76,,,,,,45.4717,9.1892
17641211,42,28,70,,,,,,#N/A,#N/A
ITE00100554,42,28,70,,,,,,45.4717,9.1892
17641212,33,13,46,,,,,,#N/A,#N/A
ITE00100554,33,13,46,,,,,,45.4717,9.1892
17641213,45,17,62,,,,,,#N/A,#N/A
ITE00100554,45,17,62,,,,,,45.4717,9.1892
17641214,40,16,56,,,,,,#N/A,#N/A
ITE00100554,40,16,56,,,,,,45.4717,9.1892
17641215,52,38,90,,,,,,#N/A,#N/A
ITE00100554,52,38,90,,,,,,45.4717,9.1892
17641216,60,46,106,,,,,,#N/A,#N/A
ITE00100554,60,46,106,,,,,,45.4717,9.1892
17641217,68,44,112,,,,,,#N/A,#N/A
ITE00100554,68,44,112,,,,,,45.4717,9.1892
17641218,54,34,88,,,,,,#N/A,#N/A
ITE00100554,54,34,88,,,,,,45.4717,9.1892
17641219,35,7,42,,,,,,#N/A,#N/A
ITE00100554,35,7,42,,,,,,45.4717,9.1892
17641220,26,6,32,,,,,,#N/A,#N/A
ITE00100554,26,6,32,,,,,,45.4717,9.1892
17641221,38,18,56,,,,,,#N/A,#N/A
ITE00100554,38,18,56,,,,,,45.4717,9.1892
17641222,48,28,76,,,,,,#N/A,#N/A
ITE00100554,48,28,76,,,,,,45.4717,9.1892
17641223,49,29,78,,,,,,#N/A,#N/A
ITE00100554,49,29,78,,,,,,45.4717,9.1892
17641224,61,41,102,,,,,,#N/A,#N/A
ITE00100554,61,41,102,,,,,,45.4717,9.1892
17641225,53,39,92,,,,,,#N/A,#N/A
ITE00100554,53,39,92,,,,,,45.4717,9.1892
17641226,56,36,92,,,,,,#N/A,#N/A
ITE00100554,56,36,92,,,,,,45.4717,9.1892
17641227,64,44,108,,,,,,#N/A,#N/A
ITE00100554,64,44,108,,,,,,45.4717,9.1892
17641228,66,46,112,,,,,,#N/A,#N/A
ITE00100554,66,46,112,,,,,,45.4717,9.1892
17641229,55,35,90,,,,,,#N/A,#N/A
ITE00100554,55,35,90,,,,,,45.4717,9.1892
17641230,58,38,96,,,,,,#N/A,#N/A
ITE00100554,58,38,96,,,,,,45.4717,9.1892
17641231,69,49,118,,,,,,#N/A,#N/A
ITE00100554,69,49,118,,,,,,45.4717,9.1892
Grand Total,56215,39009,95224,,,,,,#N/A,#N/A
