Sum of Value,Column Labels,,,,ID,Longitude,Latitude,# Unique Weather Stations,Longitude Instance,Latitude Instance
ITE00100554,199,131,330,,,,,,45.4717,9.1892
17630917,204,136,340,,,,,,#N/A,#N/A
ITE00100554,204,136,340,,,,,,45.4717,9.1892
17630918,208,142,350,,,,,,#N/A,#N/A
ITE00100554,208,142,350,,,,,,45.4717,9.1892
17630919,222,168,390,,,,,,#N/A,#N/A
ITE00100554,222,168,390,,,,,,45.4717,9.1892
17630920,214,148,362,,,,,,#N/A,#N/A
ITE00100554,214,148,362,,,,,,45.4717,9.1892
17630921,199,169,368,,,,,,#N/A,#N/A
ITE00100554,199,169,368,,,,,,45.4717,9.1892
17630922,197,133,330,,,,,,#N/A,#N/A
ITE00100554,197,133,330,,,,,,45.4717,9.1892
17630923,197,145,342,,,,,,#N/A,#N/A
ITE00100554,197,145,342,,,,,,45.4717,9.1892
17630924,205,141,346,,,,,,#N/A,#N/A
ITE00100554,205,141,346,,,,,,45.4717,9.1892
17630925,195,131,326,,,,,,#N/A,#N/A
ITE00100554,195,131,326,,,,,,45.4717,9.1892
17630926,196,144,340,,,,,,#N/A,#N/A
ITE00100554,196,144,340,,,,,,45.4717,9.1892
17630927,200,158,358,,,,,,#N/A,#N/A
ITE00100554,200,158,358,,,,,,45.4717,9.1892
17630928,192,150,342,,,,,,#N/A,#N/A
ITE00100554,192,150,342,,,,,,45.4717,9.1892
17630929,152,110,262,,,,,,#N/A,#N/A
ITE00100554,152,110,262,,,,,,45.4717,9.1892
17630930,151,111,262,,,,,,#N/A,#N/A
ITE00100554,151,111,262,,,,,,45.4717,9.1892
17631001,150,100,250,,,,,,#N/A,#N/A
ITE00100554,150,100,250,,,,,,45.4717,9.1892
17631002,154,126,280,,,,,,#N/A,#N/A
ITE00100554,154,126,280,,,,,,45.4717,9.1892
17631003,142,114,256,,,,,,#N/A,#N/A
ITE00100554,142,114,256,,,,,,45.4717,9.1892
17631004,155,107,262,,,,,,#N/A,#N/A
ITE00100554,155,107,262,,,,,,45.4717,9.1892
17631005,115,57,172,,,,,,#N/A,#N/A
ITE00100554,115,57,172,,,,,,45.4717,9.1892
17631006,129,103,232,,,,,,#N/A,#N/A
ITE00100554,129,103,232,,,,,,45.4717,9.1892
17631007,134,96,230,,,,,,#N/A,#N/A
ITE00100554,134,96,230,,,,,,45.4717,9.1892
17631008,131,75,206,,,,,,#N/A,#N/A
ITE00100554,131,75,206,,,,,,45.4717,9.1892
17631009,134,78,212,,,,,,#N/A,#N/A
ITE00100554,134,78,212,,,,,,45.4717,9.1892
17631010,147,91,238,,,,,,#N/A,#N/A
ITE00100554,147,91,238,,,,,,45.4717,9.1892
17631011,133,79,212,,,,,,#N/A,#N/A
ITE00100554,133,79,212,,,,,,45.4717,9.1892
17631012,137,83,220,,,,,,#N/A,#N/A
ITE00100554,137,83,220,,,,,,45.4717,9.1892
17631013,105,51,156,,,,,,#N/A,#N/A
ITE00100554,105,51,156,,,,,,45.4717,9.1892
17631014,111,57,168,,,,,,#N/A,#N/A
ITE00100554,111,57,168,,,,,,45.4717,9.1892
17631015,116,64,180,,,,,,#N/A,#N/A
ITE00100554,116,64,180,,,,,,45.4717,9.1892
17631016,126,74,200,,,,,,#N/A,#N/A
ITE00100554,126,74,200,,,,,,45.4717,9.1892
17631017,130,78,208,,,,,,#N/A,#N/A
ITE00100554,130,78,208,,,,,,45.4717,9.1892
17631018,132,80,212,,,,,,#N/A,#N/A
ITE00100554,132,80,212,,,,,,45.4717,9.1892
17631019,137,95,232,,,,,,#N/A,#N/A
ITE00100554,137,95,232,,,,,,45.4717,9.1892
17631020,149,99,248,,,,,,#N/A,#N/A
ITE00100554,149,99,248,,,,,,45.4717,9.1892
17631021,139,99,238,,,,,,#N/A,#N/A
ITE00100554,139,99,238,,,,,,45.4717,9.1892
17631022,129,81,210,,,,,,#N/A,#N/A
ITE00100554,129,81,210,,,,,,45.4717,9.1892
17631023,139,91,230,,,,,,#N/A,#N/A
ITE00100554,139,91,230,,,,,,45.4717,9.1892
17631024,137,89,226,,,,,,#N/A,#N/A
ITE00100554,137,89,226,,,,,,45.4717,9.1892
17631025,134,96,230,,,,,,#N/A,#N/A
ITE00100554,134,96,230,,,,,,45.4717,9.1892
17631026,136,90,226,,,,,,#N/A,#N/A
ITE00100554,136,90,226,,,,,,45.4717,9.1892
17631027,144,106,250,,,,,,#N/A,#N/A
ITE00100554,144,106,250,,,,,,45.4717,9.1892
17631028,150,112,262,,,,,,#N/A,#N/A
ITE00100554,150,112,262,,,,,,45.4717,9.1892
17631029,156,120,276,,,,,,#N/A,#N/A
ITE00100554,156,120,276,,,,,,45.4717,9.1892
17631030,159,129,288,,,,,,#N/A,#N/A
ITE00100554,159,129,288,,,,,,45.4717,9.1892
17631031,159,129,288,,,,,,#N/A,#N/A
ITE00100554,159,129,288,,,,,,45.4717,9.1892
17631101,169,133,302,,,,,,#N/A,#N/A
ITE00100554,169,133,302,,,,,,45.4717,9.1892
17631102,152,110,262,,,,,,#N/A,#N/A
ITE00100554,152,110,262,,,,,,45.4717,9.1892
17631103,127,93,220,,,,,,#N/A,#N/A
ITE00100554,127,93,220,,,,,,45.4717,9.1892
17631104,116,96,212,,,,,,#N/A,#N/A
ITE00100554,116,96,212,,,,,,45.4717,9.1892
17631105,100,72,172,,,,,,#N/A,#N/A
ITE00100554,100,72,172,,,,,,45.4717,9.1892
17631106,127,93,220,,,,,,#N/A,#N/A
ITE00100554,127,93,220,,,,,,45.4717,9.1892
17631107,145,117,262,,,,,,#N/A,#N/A
ITE00100554,145,117,262,,,,,,45.4717,9.1892
17631108,129,111,240,,,,,,#N/A,#N/A
ITE00100554,129,111,240,,,,,,45.4717,9.1892
17631109,133,107,240,,,,,,#N/A,#N/A
ITE00100554,133,107,240,,,,,,45.4717,9.1892
17631110,129,103,232,,,,,,#N/A,#N/A
ITE00100554,129,103,232,,,,,,45.4717,9.1892
17631111,112,86,198,,,,,,#N/A,#N/A
ITE00100554,112,86,198,,,,,,45.4717,9.1892
17631112,78,48,126,,,,,,#N/A,#N/A
ITE00100554,78,48,126,,,,,,45.4717,9.1892
17631113,93,63,156,,,,,,#N/A,#N/A
ITE00100554,93,63,156,,,,,,45.4717,9.1892
17631114,108,78,186,,,,,,#N/A,#N/A
ITE00100554,108,78,186,,,,,,45.4717,9.1892
17631115,78,48,126,,,,,,#N/A,#N/A
ITE00100554,78,48,126,,,,,,45.4717,9.1892
17631116,71,35,106,,,,,,#N/A,#N/A
ITE00100554,71,35,106,,,,,,45.4717,9.1892
17631117,52,16,68,,,,,,#N/A,#N/A
ITE00100554,52,16,68,,,,,,45.4717,9.1892
17631118,47,11,58,,,,,,#N/A,#N/A
ITE00100554,47,11,58,,,,,,45.4717,9.1892
17631119,36,2,38,,,,,,#N/A,#N/A
ITE00100554,36,2,38,,,,,,45.4717,9.1892
17631120,42,8,50,,,,,,#N/A,#N/A
ITE00100554,42,8,50,,,,,,45.4717,9.1892
17631121,17,-5,12,,,,,,#N/A,#N/A
ITE00100554,17,-5,12,,,,,,45.4717,9.1892
17631122,23,-11,12,,,,,,#N/A,#N/A
ITE00100554,23,-11,12,,,,,,45.4717,9.1892
17631123,36,2,38,,,,,,#N/A,#N/A
ITE00100554,36,2,38,,,,,,45.4717,9.1892
17631124,38,4,42,,,,,,#N/A,#N/A
ITE00100554,38,4,42,,,,,,45.4717,9.1892
17631125,22,-10,12,,,,,,#N/A,#N/A
ITE00100554,22,-10,12,,,,,,45.4717,9.1892
17631126,30,-2,28,,,,,,#N/A,#N/A
ITE00100554,30,-2,28,,,,,,45.4717,9.1892
17631127,41,9,50,,,,,,#N/A,#N/A
ITE00100554,41,9,50,,,,,,45.4717,9.1892
17631128,39,17,56,,,,,,#N/A,#N/A
ITE00100554,39,17,56,,,,,,45.4717,9.1892
17631129,69,47,116,,,,,,#N/A,#N/A
ITE00100554,69,47,116,,,,,,45.4717,9.1892
17631130,69,47,116,,,,,,#N/A,#N/A
ITE00100554,69,47,116,,,,,,45.4717,9.1892
17631201,84,64,148,,,,,,#N/A,#N/A
ITE00100554,84,64,148,,,,,,45.4717,9.1892
17631202,76,62,138,,,,,,#N/A,#N/A
ITE00100554,76,62,138,,,,,,45.4717,9.1892
17631203,86,56,142,,,,,,#N/A,#N/A
ITE00100554,86,56,142,,,,,,45.4717,9.1892
17631204,63,33,96,,,,,,#N/A,#N/A
ITE00100554,63,33,96,,,,,,45.4717,9.1892
17631205,30,0,30,,,,,,#N/A,#N/A
ITE00100554,30,0,30,,,,,,45.4717,9.1892
17631206,34,4,38,,,,,,#N/A,#N/A
ITE00100554,34,4,38,,,,,,45.4717,9.1892
17631207,36,6,42,,,,,,#N/A,#N/A
ITE00100554,36,6,42,,,,,,45.4717,9.1892
17631208,39,9,48,,,,,,#N/A,#N/A
ITE00100554,39,9,48,,,,,,45.4717,9.1892
17631209,31,1,32,,,,,,#N/A,#N/A
ITE00100554,31,1,32,,,,,,45.4717,9.1892
17631210,16,-4,12,,,,,,#N/A,#N/A
ITE00100554,16,-4,12,,,,,,45.4717,9.1892
17631211,26,6,32,,,,,,#N/A,#N/A
ITE00100554,26,6,32,,,,,,45.4717,9.1892
17631212,22,8,30,,,,,,#N/A,#N/A
ITE00100554,22,8,30,,,,,,45.4717,9.1892
17631213,78,64,142,,,,,,#N/A,#N/A
ITE00100554,78,64,142,,,,,,45.4717,9.1892
17631214,96,82,178,,,,,,#N/A,#N/A
ITE00100554,96,82,178,,,,,,45.4717,9.1892
17631215,79,59,138,,,,,,#N/A,#N/A
ITE00100554,79,59,138,,,,,,45.4717,9.1892
17631216,70,50,120,,,,,,#N/A,#N/A
ITE00100554,70,50,120,,,,,,45.4717,9.1892
17631217,58,44,102,,,,,,#N/A,#N/A
ITE00100554,58,44,102,,,,,,45.4717,9.1892
17631218,58,30,88,,,,,,#N/A,#N/A
ITE00100554,58,30,88,,,,,,45.4717,9.1892
17631219,45,31,76,,,,,,#N/A,#N/A
ITE00100554,45,31,76,,,,,,45.4717,9.1892
17631220,41,21,62,,,,,,#N/A,#N/A
ITE00100554,41,21,62,,,,,,45.4717,9.1892
17631221,10,-10,0,,,,,,#N/A,#N/A
ITE00100554,10,-10,0,,,,,,45.4717,9.1892
17631222,22,-6,16,,,,,,#N/A,#N/A
ITE00100554,22,-6,16,,,,,,45.4717,9.1892
17631223,44,24,68,,,,,,#N/A,#N/A
ITE00100554,44,24,68,,,,,,45.4717,9.1892
17631224,43,19,62,,,,,,#N/A,#N/A
ITE00100554,43,19,62,,,,,,45.4717,9.1892
17631225,48,34,82,,,,,,#N/A,#N/A
ITE00100554,48,34,82,,,,,,45.4717,9.1892
17631226,56,36,92,,,,,,#N/A,#N/A
ITE00100554,56,36,92,,,,,,45.4717,9.1892
17631227,16,-8,8,,,,,,#N/A,#N/A
ITE00100554,16,-8,8,,,,,,45.4717,9.1892
17631228,40,10,50,,,,,,#N/A,#N/A
ITE00100554,40,10,50,,,,,,45.4717,9.1892
17631229,44,24,68,,,,,,#N/A,#N/A
ITE00100554,44,24,68,,,,,,45.4717,9.1892
17631230,81,61,142,,,,,,#N/A,#N/A
ITE00100554,81,61,142,,,,,,45.4717,9.1892
17631231,79,59,138,,,,,,#N/A,#N/A
ITE00100554,79,59,138,,,,,,45.4717,9.1892
Grand Total,53974,36740,90714,,,,,,#N/A,#N/A
