Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weather Stations,Longitude Instance,Latitude Instance
ITE00100554,225,191,416,,,,,,45.4717,9.1892
17670915,200,141,341,,,,,,#N/A,#N/A
ITE00100554,200,141,341,,,,,,45.4717,9.1892
17670916,194,122,316,,,,,,#N/A,#N/A
ITE00100554,194,122,316,,,,,,45.4717,9.1892
17670917,200,116,316,,,,,,#N/A,#N/A
ITE00100554,200,116,316,,,,,,45.4717,9.1892
17670918,219,141,360,,,,,,#N/A,#N/A
ITE00100554,219,141,360,,,,,,45.4717,9.1892
17670919,231,172,403,,,,,,#N/A,#N/A
ITE00100554,231,172,403,,,,,,45.4717,9.1892
17670920,250,191,441,,,,,,#N/A,#N/A
ITE00100554,250,191,441,,,,,,45.4717,9.1892
17670921,231,160,391,,,,,,#N/A,#N/A
ITE00100554,231,160,391,,,,,,45.4717,9.1892
17670922,200,129,329,,,,,,#N/A,#N/A
ITE00100554,200,129,329,,,,,,45.4717,9.1892
17670923,181,148,329,,,,,,#N/A,#N/A
ITE00100554,181,148,329,,,,,,45.4717,9.1892
17670924,131,98,229,,,,,,#N/A,#N/A
ITE00100554,131,98,229,,,,,,45.4717,9.1892
17670925,169,116,285,,,,,,#N/A,#N/A
ITE00100554,169,116,285,,,,,,45.4717,9.1892
17670926,219,135,354,,,,,,#N/A,#N/A
ITE00100554,219,135,354,,,,,,45.4717,9.1892
17670927,213,116,329,,,,,,#N/A,#N/A
ITE00100554,213,116,329,,,,,,45.4717,9.1892
17670928,237,135,372,,,,,,#N/A,#N/A
ITE00100554,237,135,372,,,,,,45.4717,9.1892
17670929,194,110,304,,,,,,#N/A,#N/A
ITE00100554,194,110,304,,,,,,45.4717,9.1892
17670930,181,104,285,,,,,,#N/A,#N/A
ITE00100554,181,104,285,,,,,,45.4717,9.1892
17671001,181,85,266,,,,,,#N/A,#N/A
ITE00100554,181,85,266,,,,,,45.4717,9.1892
17671002,150,85,235,,,,,,#N/A,#N/A
ITE00100554,150,85,235,,,,,,45.4717,9.1892
17671003,175,98,273,,,,,,#N/A,#N/A
ITE00100554,175,98,273,,,,,,45.4717,9.1892
17671004,175,122,297,,,,,,#N/A,#N/A
ITE00100554,175,122,297,,,,,,45.4717,9.1892
17671005,187,135,322,,,,,,#N/A,#N/A
ITE00100554,187,135,322,,,,,,45.4717,9.1892
17671006,156,72,228,,,,,,#N/A,#N/A
ITE00100554,156,72,228,,,,,,45.4717,9.1892
17671007,163,66,229,,,,,,#N/A,#N/A
ITE00100554,163,66,229,,,,,,45.4717,9.1892
17671008,163,85,248,,,,,,#N/A,#N/A
ITE00100554,163,85,248,,,,,,45.4717,9.1892
17671009,169,85,254,,,,,,#N/A,#N/A
ITE00100554,169,85,254,,,,,,45.4717,9.1892
17671010,163,135,298,,,,,,#N/A,#N/A
ITE00100554,163,135,298,,,,,,45.4717,9.1892
17671011,169,129,298,,,,,,#N/A,#N/A
ITE00100554,169,129,298,,,,,,45.4717,9.1892
17671012,175,141,316,,,,,,#N/A,#N/A
ITE00100554,175,141,316,,,,,,45.4717,9.1892
17671013,163,148,311,,,,,,#N/A,#N/A
ITE00100554,163,148,311,,,,,,45.4717,9.1892
17671014,160,137,297,,,,,,#N/A,#N/A
ITE00100554,160,137,297,,,,,,45.4717,9.1892
17671015,156,154,310,,,,,,#N/A,#N/A
ITE00100554,156,154,310,,,,,,45.4717,9.1892
17671016,163,110,273,,,,,,#N/A,#N/A
ITE00100554,163,110,273,,,,,,45.4717,9.1892
17671017,156,116,272,,,,,,#N/A,#N/A
ITE00100554,156,116,272,,,,,,45.4717,9.1892
17671018,163,91,254,,,,,,#N/A,#N/A
ITE00100554,163,91,254,,,,,,45.4717,9.1892
17671019,144,110,254,,,,,,#N/A,#N/A
ITE00100554,144,110,254,,,,,,45.4717,9.1892
17671020,137,116,253,,,,,,#N/A,#N/A
ITE00100554,137,116,253,,,,,,45.4717,9.1892
17671021,150,85,235,,,,,,#N/A,#N/A
ITE00100554,150,85,235,,,,,,45.4717,9.1892
17671022,156,79,235,,,,,,#N/A,#N/A
ITE00100554,156,79,235,,,,,,45.4717,9.1892
17671023,150,85,235,,,,,,#N/A,#N/A
ITE00100554,150,85,235,,,,,,45.4717,9.1892
17671024,150,91,241,,,,,,#N/A,#N/A
ITE00100554,150,91,241,,,,,,45.4717,9.1892
17671025,156,116,272,,,,,,#N/A,#N/A
ITE00100554,156,116,272,,,,,,45.4717,9.1892
17671026,150,104,254,,,,,,#N/A,#N/A
ITE00100554,150,104,254,,,,,,45.4717,9.1892
17671027,156,98,254,,,,,,#N/A,#N/A
ITE00100554,156,98,254,,,,,,45.4717,9.1892
17671028,150,85,235,,,,,,#N/A,#N/A
ITE00100554,150,85,235,,,,,,45.4717,9.1892
17671029,156,98,254,,,,,,#N/A,#N/A
ITE00100554,156,98,254,,,,,,45.4717,9.1892
17671030,144,104,248,,,,,,#N/A,#N/A
ITE00100554,144,104,248,,,,,,45.4717,9.1892
17671031,125,110,235,,,,,,#N/A,#N/A
ITE00100554,125,110,235,,,,,,45.4717,9.1892
17671101,116,113,229,,,,,,#N/A,#N/A
ITE00100554,116,113,229,,,,,,45.4717,9.1892
17671102,106,54,160,,,,,,#N/A,#N/A
ITE00100554,106,54,160,,,,,,45.4717,9.1892
17671103,100,48,148,,,,,,#N/A,#N/A
ITE00100554,100,48,148,,,,,,45.4717,9.1892
17671104,94,66,160,,,,,,#N/A,#N/A
ITE00100554,94,66,160,,,,,,45.4717,9.1892
17671105,108,80,188,,,,,,#N/A,#N/A
ITE00100554,108,80,188,,,,,,45.4717,9.1892
17671106,130,96,226,,,,,,#N/A,#N/A
ITE00100554,130,96,226,,,,,,45.4717,9.1892
17671107,81,49,130,,,,,,#N/A,#N/A
ITE00100554,81,49,130,,,,,,45.4717,9.1892
17671108,83,57,140,,,,,,#N/A,#N/A
ITE00100554,83,57,140,,,,,,45.4717,9.1892
17671109,96,70,166,,,,,,#N/A,#N/A
ITE00100554,96,70,166,,,,,,45.4717,9.1892
17671110,64,32,96,,,,,,#N/A,#N/A
ITE00100554,64,32,96,,,,,,45.4717,9.1892
17671111,63,37,100,,,,,,#N/A,#N/A
ITE00100554,63,37,100,,,,,,45.4717,9.1892
17671112,68,42,110,,,,,,#N/A,#N/A
ITE00100554,68,42,110,,,,,,45.4717,9.1892
17671113,71,41,112,,,,,,#N/A,#N/A
ITE00100554,71,41,112,,,,,,45.4717,9.1892
17671114,72,54,126,,,,,,#N/A,#N/A
ITE00100554,72,54,126,,,,,,45.4717,9.1892
17671115,73,57,130,,,,,,#N/A,#N/A
ITE00100554,73,57,130,,,,,,45.4717,9.1892
17671116,79,63,142,,,,,,#N/A,#N/A
ITE00100554,79,63,142,,,,,,45.4717,9.1892
17671117,96,80,176,,,,,,#N/A,#N/A
ITE00100554,96,80,176,,,,,,45.4717,9.1892
17671118,89,73,162,,,,,,#N/A,#N/A
ITE00100554,89,73,162,,,,,,45.4717,9.1892
17671119,77,49,126,,,,,,#N/A,#N/A
ITE00100554,77,49,126,,,,,,45.4717,9.1892
17671120,58,30,88,,,,,,#N/A,#N/A
ITE00100554,58,30,88,,,,,,45.4717,9.1892
17671121,76,60,136,,,,,,#N/A,#N/A
ITE00100554,76,60,136,,,,,,45.4717,9.1892
17671122,74,52,126,,,,,,#N/A,#N/A
ITE00100554,74,52,126,,,,,,45.4717,9.1892
17671123,60,32,92,,,,,,#N/A,#N/A
ITE00100554,60,32,92,,,,,,45.4717,9.1892
17671124,77,43,120,,,,,,#N/A,#N/A
ITE00100554,77,43,120,,,,,,45.4717,9.1892
17671125,71,39,110,,,,,,#N/A,#N/A
ITE00100554,71,39,110,,,,,,45.4717,9.1892
17671126,66,34,100,,,,,,#N/A,#N/A
ITE00100554,66,34,100,,,,,,45.4717,9.1892
17671127,68,42,110,,,,,,#N/A,#N/A
ITE00100554,68,42,110,,,,,,45.4717,9.1892
17671128,71,39,110,,,,,,#N/A,#N/A
ITE00100554,71,39,110,,,,,,45.4717,9.1892
17671129,66,34,100,,,,,,#N/A,#N/A
ITE00100554,66,34,100,,,,,,45.4717,9.1892
17671130,66,34,100,,,,,,#N/A,#N/A
ITE00100554,66,34,100,,,,,,45.4717,9.1892
17671201,36,4,40,,,,,,#N/A,#N/A
ITE00100554,36,4,40,,,,,,45.4717,9.1892
17671202,33,7,40,,,,,,#N/A,#N/A
ITE00100554,33,7,40,,,,,,45.4717,9.1892
17671203,22,-2,20,,,,,,#N/A,#N/A
ITE00100554,22,-2,20,,,,,,45.4717,9.1892
17671204,25,-5,20,,,,,,#N/A,#N/A
ITE00100554,25,-5,20,,,,,,45.4717,9.1892
17671205,20,-10,10,,,,,,#N/A,#N/A
ITE00100554,20,-10,10,,,,,,45.4717,9.1892
17671206,6,-18,-12,,,,,,#N/A,#N/A
ITE00100554,6,-18,-12,,,,,,45.4717,9.1892
17671207,21,-9,12,,,,,,#N/A,#N/A
ITE00100554,21,-9,12,,,,,,45.4717,9.1892
17671208,62,38,100,,,,,,#N/A,#N/A
ITE00100554,62,38,100,,,,,,45.4717,9.1892
17671209,71,41,112,,,,,,#N/A,#N/A
ITE00100554,71,41,112,,,,,,45.4717,9.1892
17671210,53,29,82,,,,,,#N/A,#N/A
ITE00100554,53,29,82,,,,,,45.4717,9.1892
17671211,69,49,118,,,,,,#N/A,#N/A
ITE00100554,69,49,118,,,,,,45.4717,9.1892
17671212,73,53,126,,,,,,#N/A,#N/A
ITE00100554,73,53,126,,,,,,45.4717,9.1892
17671213,45,17,62,,,,,,#N/A,#N/A
ITE00100554,45,17,62,,,,,,45.4717,9.1892
17671214,11,-9,2,,,,,,#N/A,#N/A
ITE00100554,11,-9,2,,,,,,45.4717,9.1892
17671215,9,-19,-10,,,,,,#N/A,#N/A
ITE00100554,9,-19,-10,,,,,,45.4717,9.1892
17671216,20,-8,12,,,,,,#N/A,#N/A
ITE00100554,20,-8,12,,,,,,45.4717,9.1892
17671217,24,-4,20,,,,,,#N/A,#N/A
ITE00100554,24,-4,20,,,,,,45.4717,9.1892
17671218,18,-6,12,,,,,,#N/A,#N/A
ITE00100554,18,-6,12,,,,,,45.4717,9.1892
17671219,23,9,32,,,,,,#N/A,#N/A
ITE00100554,23,9,32,,,,,,45.4717,9.1892
17671220,45,25,70,,,,,,#N/A,#N/A
ITE00100554,45,25,70,,,,,,45.4717,9.1892
17671221,22,-2,20,,,,,,#N/A,#N/A
ITE00100554,22,-2,20,,,,,,45.4717,9.1892
17671222,16,-8,8,,,,,,#N/A,#N/A
ITE00100554,16,-8,8,,,,,,45.4717,9.1892
17671223,-9,-29,-38,,,,,,#N/A,#N/A
ITE00100554,-9,-29,-38,,,,,,45.4717,9.1892
17671224,-17,-41,-58,,,,,,#N/A,#N/A
ITE00100554,-17,-41,-58,,,,,,45.4717,9.1892
17671225,-25,-53,-78,,,,,,#N/A,#N/A
ITE00100554,-25,-53,-78,,,,,,45.4717,9.1892
17671226,-31,-45,-76,,,,,,#N/A,#N/A
ITE00100554,-31,-45,-76,,,,,,45.4717,9.1892
17671227,-5,-25,-30,,,,,,#N/A,#N/A
ITE00100554,-5,-25,-30,,,,,,45.4717,9.1892
17671228,13,-1,12,,,,,,#N/A,#N/A
ITE00100554,13,-1,12,,,,,,45.4717,9.1892
17671229,22,8,30,,,,,,#N/A,#N/A
ITE00100554,22,8,30,,,,,,45.4717,9.1892
17671230,31,11,42,,,,,,#N/A,#N/A
ITE00100554,31,11,42,,,,,,45.4717,9.1892
17671231,15,-15,0,,,,,,#N/A,#N/A
ITE00100554,15,-15,0,,,,,,45.417,9.1892
Grand Total,51857,33768,85625,,,,,,#N/A,#N/A
