Sum of Value,Column Labels,,,,,ID,Longitude,Latitude,# Unique Weather Stations,Longitude Instance,Latitude Instance,,,,,,,,
ASN00022055,0,0,0,0,,,,,,-34.6492,137.7272,,,,,,,,
ASN00022056,0,0,0,0,,,,,,-34.402,137.7185,,,,,,,,
ASN00022803,0,172,144,316,,,,,,-35.8426,138.1327,,,,,,,,
ASN00022817,0,0,0,0,,,,,,-35.951,136.7391,,,,,,,,
ASN00022823,0,0,139,139,,,,,,-35.7549,136.5959,,,,,,,,
ASN00022835,0,0,0,0,,,,,,-35.734,137.1212,,,,,,,,
ASN00022841,0,220,150,370,,,,,,-35.7114,137.5231,,,,,,,,
ASN00023000,0,289,169,458,,,,,,-34.9254,138.5869,,,,,,,,
ASN00023005,0,0,0,0,,,,,,-34.9464,138.6519,,,,,,,,
ASN00023013,0,315,150,465,,,,,,-34.7977,138.6281,,,,,,,,
ASN00023034,0,257,167,424,,,,,,-34.9524,138.5204,,,,,,,,
ASN00023042,0,0,0,0,,,,,,-34.9387,138.6607,,,,,,,,
ASN00023043,0,0,0,0,,,,,,-34.7607,138.6311,,,,,,,,
ASN00023055,0,0,0,0,,,,,,-34.9552,138.5356,,,,,,,,
ASN00023076,0,0,0,0,,,,,,-34.432,138.2587,,,,,,,,
ASN00023083,0,306,147,453,,,,,,-34.7111,138.6222,,,,,,,,
ASN00023085,0,0,0,0,,,,,,-34.9222,138.6805,,,,,,,,
ASN00023096,0,0,0,0,,,,,,-34.8564,138.6844,,,,,,,,
ASN00023101,0,0,0,0,,,,,,-34.8925,138.6422,,,,,,,,
ASN00023105,0,0,0,0,,,,,,-34.9808,138.621,,,,,,,,
ASN00023108,0,0,0,0,,,,,,-35.0495,138.7259,,,,,,,,
ASN00023114,0,0,0,0,,,,,,-34.9542,138.6586,,,,,,,,
ASN00023115,0,0,0,0,,,,,,-34.9473,138.5827,,,,,,,,
ASN00023122,0,321,123,444,,,,,,-34.5106,138.6763,,,,,,,,
ASN00023128,0,0,0,0,,,,,,-34.2015,138.597,,,,,,,,
ASN00023129,0,0,0,0,,,,,,-34.4611,138.5581,,,,,,,,
ASN00023133,0,0,0,0,,,,,,-34.8694,138.6359,,,,,,,,
ASN00023134,0,0,0,0,,,,,,-34.8516,138.5861,,,,,,,,
ASN00023135,0,0,0,0,,,,,,-34.3741,138.6567,,,,,,,,
ASN00023314,0,0,0,0,,,,,,-34.158,138.7483,,,,,,,,
ASN00023318,0,0,0,0,,,,,,-34.5169,138.9598,,,,,,,,
ASN00023348,0,0,0,0,,,,,,-34.5103,138.835,,,,,,,,
ASN00023349,0,0,0,0,,,,,,-34.0936,138.7952,,,,,,,,
ASN00023357,0,0,0,0,,,,,,-34.4709,138.9991,,,,,,,,
ASN00023369,0,0,0,0,,,,,,-34.4557,138.9222,,,,,,,,
ASN00023372,0,0,0,0,,,,,,-34.4534,139.0638,,,,,,,,
ASN00023373,0,338,183,521,,,,,,-34.4761,139.0056,,,,,,,,
ASN00023374,0,0,0,0,,,,,,-34.2523,139.0183,,,,,,,,
ASN00023705,0,0,0,0,,,,,,-34.8148,138.9474,,,,,,,,
ASN00023714,0,0,0,0,,,,,,-35.3736,138.806,,,,,,,,
ASN00023719,0,0,0,0,,,,,,-34.8237,138.8859,,,,,,,,
ASN00023720,0,0,0,0,,,,,,-35.0303,138.8148,,,,,,,,
ASN00023721,0,0,0,0,,,,,,-35.0608,138.5647,,,,,,,,
ASN00023723,0,0,0,0,,,,,,-35.4935,138.4575,,,,,,,,
ASN00023731,0,0,0,0,,,,,,-34.8331,138.8215,,,,,,,,
ASN00023732,0,0,0,0,,,,,,-35.1351,138.5274,,,,,,,,
ASN00023733,0,300,124,424,,,,,,-35.0639,138.8509,,,,,,,,
ASN00023734,0,0,0,0,,,,,,-35.1213,138.6769,,,,,,,,
ASN00023752,0,0,0,0,,,,,,-34.6717,138.8885,,,,,,,,
ASN00023754,0,0,0,0,,,,,,-35.458,138.35,,,,,,,,
ASN00023787,0,0,0,0,,,,,,-35.0247,138.8578,,,,,,,,
ASN00023799,0,0,0,0,,,,,,-35.2183,138.7342,,,,,,,,
ASN00023801,0,0,0,0,,,,,,-34.9482,138.8071,,,,,,,,
ASN00023803,0,0,0,0,,,,,,-34.9423,138.727,,,,,,,,
ASN00023804,0,218,144,362,,,,,,-35.5544,138.5997,,,,,,,,
ASN00023817,0,0,0,0,,,,,,-35.0221,138.7344,,,,,,,,
ASN00023825,0,0,0,0,,,,,,-35.5288,138.8067,,,,,,,,
ASN00023842,0,280,136,416,,,,,,-34.9784,138.7088,,,,,,,,
ASN00023846,0,0,0,0,,,,,,-35.0028,138.6635,,,,,,,,
ASN00023858,0,0,0,0,,,,,,-34.763,138.7765,,,,,,,,
ASN00023860,0,0,0,0,,,,,,-34.9499,138.6866,,,,,,,,
ASN00023862,0,0,0,0,,,,,,-34.9121,138.873,,,,,,,,
ASN00023865,0,0,0,0,,,,,,-34.8944,138.8099,,,,,,,,
ASN00023866,0,0,0,0,,,,,,-35.0068,138.8033,,,,,,,,
ASN00023867,0,0,0,0,,,,,,-34.9342,138.7467,,,,,,,,
ASN00023873,0,0,0,0,,,,,,-34.9913,138.6937,,,,,,,,
ASN00023875,0,188,123,311,,,,,,-35.5695,138.2864,,,,,,,,
ASN00023877,0,0,0,0,,,,,,-34.7863,138.8651,,,,,,,,
ASN00023878,0,304,147,451,,,,,,-34.7253,138.9273,,,,,,,,
ASN00023880,0,0,0,0,,,,,,-34.7595,138.9341,,,,,,,,
ASN00023881,0,0,0,0,,,,,,-34.7742,139.0062,,,,,,,,
ASN00023882,0,0,0,0,,,,,,-34.8713,138.9058,,,,,,,,
ASN00023885,0,294,177,471,,,,,,-35.1586,138.5057,,,,,,,,
ASN00023887,0,284,129,413,,,,,,-35.1712,138.6783,,,,,,,,
ASN00023890,0,0,0,0,,,,,,-35.0012,138.62,,,,,,,,
ASN00023891,0,0,0,0,,,,,,-34.9847,138.7404,,,,,,,,
ASN00023892,0,0,0,0,,,,,,-34.8856,138.7562,,,,,,,,
ASN00023894,0,202,154,356,,,,,,-35.5194,138.8177,,,,,,,,
ASN00023896,0,0,0,0,,,,,,-34.8757,138.7103,,,,,,,,
ASN00023905,0,0,0,0,,,,,,-34.9695,138.741,,,,,,,,
ASN00023910,0,0,0,0,,,,,,-35.1296,138.6819,,,,,,,,
ASN00023911,2,0,0,2,,,,,,-35.0632,138.7636,,,,,,,,
ASN00023916,0,0,0,0,,,,,,-35.0302,138.5878,,,,,,,,
ASN00024008,0,0,0,0,,,,,,-34.2579,140.6478,,,,,,,,
ASN00024024,0,370,188,558,,,,,,-34.439,140.5978,,,,,,,,
ASN00024048,0,381,193,574,,,,,,-34.1983,140.6766,,,,,,,,
ASN00024504,0,0,0,0,,,,,,-34.1233,139.3509,,,,,,,,
ASN00024508,0,0,0,0,,,,,,-35.125,139.0433,,,,,,,,
ASN00024511,0,324,183,507,,,,,,-34.1754,139.0847,,,,,,,,
ASN00024518,0,242,152,394,,,,,,-35.6902,139.3375,,,,,,,,
ASN00024521,0,286,148,434,,,,,,-35.1234,139.2592,,,,,,,,
ASN00024525,0,0,0,0,,,,,,-34.853,139.1607,,,,,,,,
ASN00024530,0,0,0,0,,,,,,-34.4584,139.3597,,,,,,,,
ASN00024536,0,0,0,0,,,,,,-35.2546,139.4542,,,,,,,,
ASN00024564,0,0,0,0,,,,,,-34.3515,139.6153,,,,,,,,
ASN00024573,0,0,0,0,,,,,,-34.4085,139.1274,,,,,,,,
ASN00024575,0,0,0,0,,,,,,-34.5444,139.193,,,,,,,,
ASN00024578,0,0,0,0,,,,,,-34.0647,139.6605,,,,,,,,
ASN00024579,0,0,0,0,,,,,,-34.8788,138.974,,,,,,,,
ASN00024580,0,247,141,388,,,,,,-35.2836,138.8934,,,,,,,,
ASN00024583,0,0,0,0,,,,,,-34.9472,138.9261,,,,,,,,
ASN00024584,0,296,144,440,,,,,,-35.065,139.2273,,,,,,,,
ASN00024585,0,0,0,0,,,,,,-34.5079,139.5306,,,,,,,,
ASN00024586,0,0,0,0,,,,,,-34.1308,139.4233,,,,,,,,
ASN00025006,0,0,160,160,,,,,,-35.09,139.8972,,,,,,,,
ASN00025014,0,0,0,0,,,,,,-34.7169,140.7352,,,,,,,,
ASN00025507,0,360,152,512,,,,,,-36.098,140.3556,,,,,,,,
ASN00025557,0,357,151,508,,,,,,-36.1058,140.3273,,,,,,,,
ASN00025562,0,354,163,517,,,,,,-35.3778,140.5378,,,,,,,,
ASN00026021,0,300,139,439,,,,,,-37.7473,140.7739,,,,,,,,
ASN00026026,0,242,145,387,,,,,,-37.1628,139.756,,,,,,,,
ASN00026091,0,323,149,472,,,,,,-37.2906,140.8254,,,,,,,,
ASN00026095,0,259,142,401,,,,,,-36.9655,139.7164,,,,,,,,
ASN00026099,2,330,146,478,,,,,,-36.9813,140.727,,,,,,,,
ASN00026100,18,330,149,497,,,,,,-36.6539,140.5212,,,,,,,,
ASN00026103,0,0,0,0,,,,,,-37.134,140.7273,,,,,,,,
ASN00026105,0,261,145,406,,,,,,-37.1776,139.8054,,,,,,,,
ASN00027044,0,0,0,0,,,,,,-13.0658,142.4511,,,,,,,,
ASN00027045,106,367,256,729,,,,,,-12.6778,141.9208,,,,,,,,
ASN00027054,0,352,279,631,,,,,,-10.0511,143.0686,,,,,,,,
ASN00027058,0,331,281,612,,,,,,-10.5844,142.29,,,,,,,,
ASN00027061,82,0,0,82,,,,,,-14.5181,142.0389,,,,,,,,
ASN00027063,0,0,0,0,,,,,,-13.4381,142.9417,,,,,,,,
ASN00027073,0,342,245,587,,,,,,-13.7606,143.1183,,,,,,,,
ASN00027075,6,369,250,625,,,,,,-12.6167,142.0869,,,,,,,,
ASN00028004,2,359,246,607,,,,,,-16.0008,144.0758,,,,,,,,
ASN00028008,0,332,269,601,,,,,,-12.785,143.3047,,,,,,,,
ASN00029023,150,0,0,150,,,,,,-18.8692,141.2069,,,,,,,,
ASN00029030,0,0,0,0,,,,,,-20.4247,141.4047,,,,,,,,
ASN00029034,0,0,0,0,,,,,,-21.2719,141.2892,,,,,,,,
ASN00029037,0,0,0,0,,,,,,-17.3297,141.8797,,,,,,,,
ASN00029038,14,366,258,638,,,,,,-15.4818,141.7483,,,,,,,,
ASN00029049,0,0,0,0,,,,,,-20.4436,141.4553,,,,,,,,
ASN00029058,0,421,241,662,,,,,,-20.6672,141.7214,,,,,,,,
ASN00029061,0,0,0,0,,,,,,-18.9511,138.0531,,,,,,,,
ASN00029063,70,350,241,661,,,,,,-17.6872,141.0733,,,,,,,,
ASN00029069,0,0,0,0,,,,,,-17.3383,138.2508,,,,,,,,
ASN00029077,0,376,284,660,,,,,,-17.7483,139.5356,,,,,,,,
ASN00029092,0,0,0,0,,,,,,-19.8392,140.9336,,,,,,,,
ASN00029100,0,0,0,0,,,,,,-18.6419,139.2516,,,,,,,,
ASN00029126,0,0,0,0,,,,,,-20.7361,139.4817,,,,,,,,
ASN00029127,0,420,211,631,,,,,,-20.6778,139.4875,,,,,,,,
ASN00029129,0,0,0,0,,,,,,-21.215,140.2333,,,,,,,,
ASN00029131,0,0,0,0,,,,,,-20.02,139.8433,,,,,,,,
ASN00029139,0,344,290,634,,,,,,-17.1142,139.5981,,,,,,,,
ASN00029141,0,417,266,683,,,,,,-20.6664,140.505,,,,,,,,
ASN00029154,20,0,0,20,,,,,,-18.4306,141.2686,,,,,,,,
ASN00029166,0,0,0,0,,,,,,-18.9703,138.8033,,,,,,,,
ASN00029167,0,420,279,699,,,,,,-18.7569,138.7056,,,,,,,,
ASN00030022,24,378,218,620,,,,,,-20.8192,144.2333,,,,,,,,
ASN00030082,400,0,0,400,,,,,,-19.7037,144.3775,,,,,,,,
ASN00030107,630,0,0,630,,,,,,-18.8383,143.7086,,,,,,,,
ASN00030124,64,341,217,622,,,,,,-18.3039,143.5306,,,,,,,,
ASN00030127,70,0,0,70,,,,,,-20.9942,144.6433,,,,,,,,
ASN00030130,70,0,0,70,,,,,,-19.89,145.6125,,,,,,,,
ASN00030144,0,0,0,0,,,,,,-21.4014,142.6167,,,,,,,,
ASN00030158,580,0,0,580,,,,,,-18.4564,143.2986,,,,,,,,
ASN00030161,6,403,229,638,,,,,,-20.7017,143.1167,,,,,,,,
ASN00031011,0,328,257,585,,,,,,-16.8736,145.7458,,,,,,,,
ASN00031036,0,0,0,0,,,,,,-16.8178,145.6383,,,,,,,,
ASN00031037,0,335,268,603,,,,,,-16.3842,145.5592,,,,,,,,
ASN00031062,16,0,0,16,,,,,,-16.3906,145.3511,,,,,,,,
ASN00031069,0,0,0,0,,,,,,-17.6697,145.2414,,,,,,,,
ASN00031108,0,305,214,519,,,,,,-17.1347,145.4281,,,,,,,,
ASN00031181,0,0,0,0,,,,,,-17.545,145.7156,,,,,,,,
ASN00031182,0,0,0,0,,,,,,-17.5875,145.5997,,,,,,,,
ASN00031183,0,0,0,0,,,,,,-17.3594,145.5922,,,,,,,,
ASN00031184,0,0,0,0,,,,,,-17.4442,145.5094,,,,,,,,
ASN00031185,10,0,0,10,,,,,,-17.5175,145.6089,,,,,,,,
ASN00031186,0,0,0,0,,,,,,-17.6803,145.6603,,,,,,,,
ASN00031187,0,0,0,0,,,,,,-17.4694,145.7311,,,,,,,,
ASN00031188,0,0,0,0,,,,,,-17.0039,145.4281,,,,,,,,
ASN00031191,10,0,0,10,,,,,,-18.1494,145.4803,,,,,,,,
ASN00031196,0,0,0,0,,,,,,-17.7047,145.1461,,,,,,,,
ASN00031197,0,0,0,0,,,,,,-18.0394,144.8856,,,,,,,,
ASN00031198,0,0,0,0,,,,,,-17.3769,145.3803,,,,,,,,
ASN00031200,0,0,0,0,,,,,,-17.5908,145.5294,,,,,,,,
ASN00031205,0,0,0,0,,,,,,-16.9794,145.6747,,,,,,,,
ASN00031209,0,322,267,589,,,,,,-15.4461,145.1861,,,,,,,,
ASN00031210,0,319,216,535,,,,,,-17.0672,145.4283,,,,,,,,
ASN00031213,0,343,273,616,,,,,,-14.9672,145.3106,,,,,,,,
ASN00032004,0,325,0,325,,,,,,-18.2553,146.0197,,,,,,,,
ASN00032009,6,0,0,6,,,,,,-17.835,146.0986,,,,,,,,
ASN00032031,0,0,0,0,,,,,,-18.5406,146.3356,,,,,,,,
ASN00032037,26,328,249,603,,,,,,-17.6053,145.9972,,,,,,,,
ASN00032040,0,327,267,594,,,,,,-19.2483,146.7661,,,,,,,,
ASN00032043,12,0,0,12,,,,,,-18.7218,145.9237,,,,,,,,
ASN00032050,0,0,0,0,,,,,,-19.2033,146.6131,,,,,,,,
ASN00032078,0,0,250,250,,,,,,-18.6494,146.1769,,,,,,,,
ASN00032098,0,0,0,0,,,,,,-19.0506,146.4058,,,,,,,,
ASN00032109,0,0,0,0,,,,,,-18.1069,145.8053,,,,,,,,
ASN00032117,0,0,0,0,,,,,,-18.6867,146.2969,,,,,,,,
ASN00032152,0,0,0,0,,,,,,-17.5475,145.9292,,,,,,,,
ASN00032155,120,0,0,120,,,,,,-17.6094,145.9786,,,,,,,,
ASN00032160,100,0,0,100,,,,,,-17.6089,145.9792,,,,,,,,
ASN00032161,0,0,0,0,,,,,,-17.5967,145.9014,,,,,,,,
ASN00032162,0,0,0,0,,,,,,-17.615,145.8011,,,,,,,,
ASN00032163,30,0,0,30,,,,,,-17.5236,146.0325,,,,,,,,
ASN00032164,40,0,0,40,,,,,,-17.6808,145.8878,,,,,,,,
ASN00032165,10,0,0,10,,,,,,-17.5308,145.8464,,,,,,,,
ASN00032166,0,0,0,0,,,,,,-17.5456,145.9325,,,,,,,,
ASN00032167,10,0,0,10,,,,,,-17.9919,145.9425,,,,,,,,
ASN00032169,0,0,0,0,,,,,,-18.1919,145.3325,,,,,,,,
ASN00032170,0,0,0,0,,,,,,-18.4125,145.7722,,,,,,,,
ASN00032171,0,0,0,0,,,,,,-18.6347,146.1444,,,,,,,,
ASN00032172,0,0,0,0,,,,,,-18.4606,145.7383,,,,,,,,
ASN00032173,60,0,0,60,,,,,,-18.6797,145.9961,,,,,,,,
ASN00032174,0,0,0,0,,,,,,-18.4889,145.9364,,,,,,,,
ASN00032176,0,0,0,0,,,,,,-18.1439,145.61,,,,,,,,
ASN00032183,10,0,0,10,,,,,,-18.7497,146.115,,,,,,,,
ASN00032184,0,0,0,0,,,,,,-18.4506,145.8294,,,,,,,,
ASN00032185,0,0,0,0,,,,,,-18.5789,146.2803,,,,,,,,
ASN00032186,0,0,0,0,,,,,,-18.8478,145.9067,,,,,,,,
ASN00032191,8,0,0,8,,,,,,-18.5858,146.0731,,,,,,,,
ASN00032192,18,0,0,18,,,,,,-18.547,146.178,,,,,,,,
ASN00033001,612,0,0,612,,,,,,-19.5775,147.4075,,,,,,,,
ASN00033002,0,323,248,571,,,,,,-19.6169,147.3758,,,,,,,,
ASN00033008,350,0,0,350,,,,,,-22.8461,150.6475,,,,,,,,
ASN00033013,1,344,235,580,,,,,,-20.5534,147.8464,,,,,,,,
ASN00033023,434,0,0,434,,,,,,-21.1011,149.1022,,,,,,,,
ASN00033045,74,305,226,605,,,,,,-21.1706,149.1794,,,,,,,,
ASN00033053,0,0,0,0,,,,,,-21.0011,148.9364,,,,,,,,
ASN00033060,220,0,0,220,,,,,,-21.1422,149.0381,,,,,,,,
ASN00033062,0,0,0,0,,,,,,-20.0997,146.8892,,,,,,,,
ASN00033068,8,0,0,8,,,,,,-21.1631,148.87,,,,,,,,
ASN00033076,414,0,0,414,,,,,,-23.1333,150.3669,,,,,,,,
ASN00033077,30,0,0,30,,,,,,-23.0967,150.7342,,,,,,,,
ASN00033082,0,0,0,0,,,,,,-20.4992,147.6278,,,,,,,,
ASN00033106,2,298,257,557,,,,,,-20.3658,148.9536,,,,,,,,
ASN00033111,30,0,0,30,,,,,,-22.8131,149.89,,,,,,,,
ASN00033119,76,305,226,607,,,,,,-21.1172,149.2169,,,,,,,,
ASN00033170,0,0,0,0,,,,,,-22.3614,149.3747,,,,,,,,
ASN00033195,2,304,218,524,,,,,,-22.4703,150.1786,,,,,,,,
ASN00033210,44,320,221,585,,,,,,-22.3472,149.5242,,,,,,,,
ASN00033229,270,0,0,270,,,,,,-23.2244,150.3831,,,,,,,,
ASN00033247,0,326,237,563,,,,,,-20.4925,148.555,,,,,,,,
ASN00033255,10,0,0,10,,,,,,-20.3531,148.9508,,,,,,,,
ASN00033263,0,0,0,0,,,,,,-20.4186,148.1108,,,,,,,,
ASN00033264,0,0,0,0,,,,,,-20.0089,148.2044,,,,,,,,
ASN00033266,0,0,0,0,,,,,,-20.2381,148.0311,,,,,,,,
ASN00033267,0,0,0,0,,,,,,-20.2197,148.1217,,,,,,,,
ASN00033268,0,0,0,0,,,,,,-20.1494,148.1556,,,,,,,,
ASN00033269,0,0,0,0,,,,,,-20.3078,148.2181,,,,,,,,
ASN00033270,0,0,0,0,,,,,,-20.525,148.2125,,,,,,,,
ASN00033277,20,0,0,20,,,,,,-21.1789,148.8297,,,,,,,,
ASN00033280,0,0,0,0,,,,,,-19.6333,147.1103,,,,,,,,
ASN00033285,230,0,0,230,,,,,,-23.0883,150.11,,,,,,,,
ASN00033286,0,0,0,0,,,,,,-19.7586,147.2436,,,,,,,,
ASN00033287,0,0,0,0,,,,,,-19.9717,147.2508,,,,,,,,
ASN00033288,20,0,0,20,,,,,,-19.6433,147.3972,,,,,,,,
ASN00033289,0,0,0,0,,,,,,-20.1425,147.5631,,,,,,,,
ASN00033290,0,0,0,0,,,,,,-20.2897,147.9019,,,,,,,,
ASN00033291,0,0,0,0,,,,,,-20.3089,147.2961,,,,,,,,
ASN00033292,0,0,0,0,,,,,,-20.5819,147.5981,,,,,,,,
ASN00033294,324,289,221,834,,,,,,-23.1364,150.7506,,,,,,,,
ASN00033295,30,310,266,606,,,,,,-19.4569,147.4833,,,,,,,,
ASN00033299,40,0,0,40,,,,,,-21.2725,148.8203,,,,,,,,
ASN00033300,60,0,0,60,,,,,,-21.1439,149.0753,,,,,,,,
ASN00033302,20,0,0,20,,,,,,-21.1772,148.8311,,,,,,,,
ASN00033303,40,0,0,40,,,,,,-21.1397,149.1883,,,,,,,,
ASN00033304,0,0,0,0,,,,,,-21.1792,148.7458,,,,,,,,
ASN00033306,0,0,0,0,,,,,,-20.4103,148.2306,,,,,,,,
ASN00033307,2,294,224,520,,,,,,-19.4167,146.5364,,,,,,,,
ASN00033308,72,297,210,579,,,,,,-22.7433,150.6578,,,,,,,,
ASN00033310,34,0,0,34,,,,,,-23.2,150.3978,,,,,,,,
ASN00033312,16,0,0,16,,,,,,-23.2233,150.605,,,,,,,,
ASN00033313,2,0,0,2,,,,,,-22.8264,150.3372,,,,,,,,
ASN00034044,0,0,0,0,,,,,,-21.0767,146.5133,,,,,,,,
ASN00034094,0,0,0,0,,,,,,-20.9994,146.4272,,,,,,,,
ASN00034097,0,0,0,0,,,,,,-20.6467,147.1372,,,,,,,,
ASN00035039,4,0,0,4,,,,,,-26.3564,150.0464,,,,,,,,
ASN00035040,0,0,0,0,,,,,,-25.5811,148.4811,,,,,,,,
ASN00035065,0,331,181,512,,,,,,-24.123,148.0856,,,,,,,,
ASN00035068,2,0,0,2,,,,,,-25.6103,148.9444,,,,,,,,
ASN00035069,0,366,198,564,,,,,,-24.8819,146.2564,,,,,,,,
ASN00035070,10,310,188,508,,,,,,-25.6408,149.7958,,,,,,,,
ASN00035081,190,0,0,190,,,,,,-26.2853,149.8283,,,,,,,,
ASN00035242,0,0,0,0,,,,,,-25.8986,150.1297,,,,,,,,
ASN00035264,2,323,199,524,,,,,,-23.5694,148.1756,,,,,,,,
ASN00035282,0,0,0,0,,,,,,-25.6333,149.7833,,,,,,,,
ASN00036007,0,381,241,622,,,,,,-23.5544,145.2883,,,,,,,,
ASN00036011,53,0,0,53,,,,,,-22.2067,145.0083,,,,,,,,
ASN00036025,0,0,0,0,,,,,,-24.2217,143.6325,,,,,,,,
ASN00036026,0,412,263,675,,,,,,-24.2591,144.4406,,,,,,,,
ASN00036031,0,416,252,668,,,,,,-23.4372,144.2769,,,,,,,,
ASN00036034,0,395,234,629,,,,,,-24.4303,145.4306,,,,,,,,
ASN00036050,0,0,0,0,,,,,,-22.0231,145.9831,,,,,,,,
ASN00036074,0,0,0,0,,,,,,-22.3022,145.99,,,,,,,,
ASN00036094,0,0,0,0,,,,,,-24.4464,144.1094,,,,,,,,
ASN00036127,0,0,0,0,,,,,,-24.6017,143.8314,,,,,,,,
ASN00036172,0,0,0,0,,,,,,-21.9667,144.3333,,,,,,,,
ASN00037000,0,0,0,0,,,,,,-22.1542,142.49,,,,,,,,
ASN00037006,0,0,0,0,,,,,,-22.515,143.0386,,,,,,,,
ASN00037010,0,433,211,644,,,,,,-19.9225,138.1214,,,,,,,,
ASN00037034,0,431,231,662,,,,,,-21.8125,139.9267,,,,,,,,
ASN00037036,0,414,239,653,,,,,,-21.84,140.8925,,,,,,,,
ASN00037039,0,434,264,698,,,,,,-22.3617,143.0836,,,,,,,,
ASN00037120,0,0,0,0,,,,,,-21.8958,143.0967,,,,,,,,
ASN00038000,0,433,229,662,,,,,,-24.3597,139.4714,,,,,,,,
ASN00038026,0,438,240,678,,,,,,-25.8975,139.3472,,,,,,,,
ASN00039000,476,0,0,476,,,,,,-25.1333,151.1292,,,,,,,,
ASN00039002,1026,0,0,1026,,,,,,-23.6528,150.6453,,,,,,,,
ASN00039040,10,0,0,10,,,,,,-24.9933,151.9606,,,,,,,,
ASN00039043,132,0,0,132,,,,,,-23.5255,150.5078,,,,,,,,
ASN00039044,0,0,0,0,,,,,,-23.5694,149.9542,,,,,,,,
ASN00039054,52,0,0,52,,,,,,-24.1967,150.3714,,,,,,,,
ASN00039059,234,284,223,741,,,,,,-24.1116,152.7161,,,,,,,,
ASN00039066,0,283,206,489,,,,,,-25.6167,151.6156,,,,,,,,
ASN00039067,220,0,0,220,,,,,,-23.5798,150.4044,,,,,,,,
ASN00039070,102,0,0,102,,,,,,-25.1694,151.6375,,,,,,,,
ASN00039071,42,0,0,42,,,,,,-24.5722,149.9694,,,,,,,,
ASN00039073,460,0,0,460,,,,,,-25.5908,151.2986,,,,,,,,
ASN00039083,166,328,218,712,,,,,,-23.3753,150.4775,,,,,,,,
ASN00039085,78,293,210,581,,,,,,-24.7298,153.2089,,,,,,,,
ASN00039089,6,307,184,497,,,,,,-24.4935,150.5709,,,,,,,,
ASN00039104,330,304,194,828,,,,,,-24.8642,151.1247,,,,,,,,
ASN00039123,88,319,208,615,,,,,,-23.8553,151.2628,,,,,,,,
ASN00039128,20,293,212,525,,,,,,-24.8885,152.3235,,,,,,,,
ASN00039158,30,0,0,30,,,,,,-24.9472,150.0789,,,,,,,,
ASN00039201,70,0,0,70,,,,,,-24.3278,149.8556,,,,,,,,
ASN00039222,2,0,0,2,,,,,,-24.6619,150.9633,,,,,,,,
ASN00039242,78,0,0,78,,,,,,-23.4009,150.6238,,,,,,,,
ASN00039252,210,0,0,210,,,,,,-24.2122,151.4219,,,,,,,,
ASN00039256,140,0,0,140,,,,,,-25.1475,151.6286,,,,,,,,
ASN00039258,290,0,0,290,,,,,,-25.1342,151.98,,,,,,,,
ASN00039290,155,0,0,155,,,,,,-24.4131,150.5208,,,,,,,,
ASN00039303,356,0,0,356,,,,,,-25.2558,152.2819,,,,,,,,
ASN00039313,0,0,0,0,,,,,,-25.1367,151.98,,,,,,,,
ASN00039314,148,300,211,659,,,,,,-24.1542,151.8875,,,,,,,,
ASN00039319,440,0,0,440,,,,,,-25.1303,151.1297,,,,,,,,
ASN00039321,140,0,0,140,,,,,,-25.4,151.1,,,,,,,,
ASN00039322,0,276,220,496,,,,,,-23.5293,151.2763,,,,,,,,
ASN00039326,74,309,210,593,,,,,,-23.8697,151.2214,,,,,,,,
ASN00039334,766,0,0,766,,,,,,-24.0213,150.9603,,,,,,,,
ASN00039338,240,0,0,240,,,,,,-24.9822,152.0731,,,,,,,,
ASN00039339,370,0,0,370,,,,,,-25.1475,151.6286,,,,,,,,
ASN00039340,140,0,0,140,,,,,,-25.62,151.59,,,,,,,,
ASN00039341,10,0,0,10,,,,,,-25.5247,151.76,,,,,,,,
ASN00039349,108,0,0,108,,,,,,-23.6211,150.1567,,,,,,,,
ASN00040004,362,268,206,836,,,,,,-27.6297,152.7111,,,,,,,,
ASN00040020,84,0,0,84,,,,,,-26.8848,152.1006,,,,,,,,
ASN00040026,92,0,0,92,,,,,,-25.5997,152.5925,,,,,,,,
ASN00040043,962,252,199,1413,,,,,,-27.0314,153.4661,,,,,,,,
ASN00040068,270,254,208,732,,,,,,-25.9319,153.1906,,,,,,,,
ASN00040082,64,264,204,532,,,,,,-27.5436,152.3375,,,,,,,,
ASN00040083,60,0,0,60,,,,,,-27.5428,152.2817,,,,,,,,
ASN00040089,600,0,0,600,,,,,,-26.0564,152.7889,,,,,,,,
ASN00040093,78,257,201,536,,,,,,-26.1831,152.6414,,,,,,,,
ASN00040094,220,0,0,220,,,,,,-27.8117,152.6675,,,,,,,,
ASN00040106,490,0,0,490,,,,,,-26.5956,152.7281,,,,,,,,
ASN00040120,154,0,0,154,,,,,,-27.4617,152.5747,,,,,,,,
ASN00040126,172,278,211,661,,,,,,-25.5161,152.7156,,,,,,,,
ASN00040169,750,0,0,750,,,,,,-26.8425,152.8819,,,,,,,,
ASN00040184,210,0,0,210,,,,,,-27.6322,152.5944,,,,,,,,
ASN00040189,164,0,0,164,,,,,,-27.1147,152.555,,,,,,,,
ASN00040197,2520,0,0,2520,,,,,,-27.9695,153.1952,,,,,,,,
ASN00040209,1812,278,0,2090,,,,,,-27.4361,153.5456,,,,,,,,
ASN00040211,498,268,203,969,,,,,,-27.5717,153.0078,,,,,,,,
