Sum of Value,Column Labels,,,,ID,Longitude ,Latitude,#Unique Weather Station IDs,Longitude Instance,Latitude Instance
17700917,234,166,400,,,,,,#N/A,#N/A
ITE00100554,234,166,400,,,,,,45.4717,9.1892
17700918,239,173,412,,,,,,#N/A,#N/A
ITE00100554,239,173,412,,,,,,45.4717,9.1892
17700919,246,180,426,,,,,,#N/A,#N/A
ITE00100554,246,180,426,,,,,,45.4717,9.1892
17700920,241,187,428,,,,,,#N/A,#N/A
ITE00100554,241,187,428,,,,,,45.4717,9.1892
17700921,244,178,422,,,,,,#N/A,#N/A
ITE00100554,244,178,422,,,,,,45.4717,9.1892
17700922,242,190,432,,,,,,#N/A,#N/A
ITE00100554,242,190,432,,,,,,45.4717,9.1892
17700923,235,183,418,,,,,,#N/A,#N/A
ITE00100554,235,183,418,,,,,,45.4717,9.1892
17700924,226,174,400,,,,,,#N/A,#N/A
ITE00100554,226,174,400,,,,,,45.4717,9.1892
17700925,239,187,426,,,,,,#N/A,#N/A
ITE00100554,239,187,426,,,,,,45.4717,9.1892
17700926,241,189,430,,,,,,#N/A,#N/A
ITE00100554,241,189,430,,,,,,45.4717,9.1892
17700927,247,195,442,,,,,,#N/A,#N/A
ITE00100554,247,195,442,,,,,,45.4717,9.1892
17700928,260,198,458,,,,,,#N/A,#N/A
ITE00100554,260,198,458,,,,,,45.4717,9.1892
17700929,247,185,432,,,,,,#N/A,#N/A
ITE00100554,247,185,432,,,,,,45.4717,9.1892
17700930,236,176,412,,,,,,#N/A,#N/A
ITE00100554,236,176,412,,,,,,45.4717,9.1892
17701001,209,169,378,,,,,,#N/A,#N/A
ITE00100554,209,169,378,,,,,,45.4717,9.1892
17701002,216,166,382,,,,,,#N/A,#N/A
ITE00100554,216,166,382,,,,,,45.4717,9.1892
17701003,203,155,358,,,,,,#N/A,#N/A
ITE00100554,203,155,358,,,,,,45.4717,9.1892
17701004,171,121,292,,,,,,#N/A,#N/A
ITE00100554,171,121,292,,,,,,45.4717,9.1892
17701005,170,122,292,,,,,,#N/A,#N/A
ITE00100554,170,122,292,,,,,,45.4717,9.1892
17701006,165,127,292,,,,,,#N/A,#N/A
ITE00100554,165,127,292,,,,,,45.4717,9.1892
17701007,180,142,322,,,,,,#N/A,#N/A
ITE00100554,180,142,322,,,,,,45.4717,9.1892
17701008,193,145,338,,,,,,#N/A,#N/A
ITE00100554,193,145,338,,,,,,45.4717,9.1892
17701009,199,151,350,,,,,,#N/A,#N/A
ITE00100554,199,151,350,,,,,,45.4717,9.1892
17701010,183,137,320,,,,,,#N/A,#N/A
ITE00100554,183,137,320,,,,,,45.4717,9.1892
17701011,183,137,320,,,,,,#N/A,#N/A
ITE00100554,183,137,320,,,,,,45.4717,9.1892
17701012,178,142,320,,,,,,#N/A,#N/A
ITE00100554,178,142,320,,,,,,45.4717,9.1892
17701013,176,140,316,,,,,,#N/A,#N/A
ITE00100554,176,140,316,,,,,,45.4717,9.1892
17701014,171,135,306,,,,,,#N/A,#N/A
ITE00100554,171,135,306,,,,,,45.4717,9.1892
17701015,168,144,312,,,,,,#N/A,#N/A
ITE00100554,168,144,312,,,,,,45.4717,9.1892
17701016,148,124,272,,,,,,#N/A,#N/A
ITE00100554,148,124,272,,,,,,45.4717,9.1892
17701017,143,119,262,,,,,,#N/A,#N/A
ITE00100554,143,119,262,,,,,,45.4717,9.1892
17701018,169,127,296,,,,,,#N/A,#N/A
ITE00100554,169,127,296,,,,,,45.4717,9.1892
17701019,138,114,252,,,,,,#N/A,#N/A
ITE00100554,138,114,252,,,,,,45.4717,9.1892
17701020,135,111,246,,,,,,#N/A,#N/A
ITE00100554,135,111,246,,,,,,45.4717,9.1892
17701021,119,97,216,,,,,,#N/A,#N/A
ITE00100554,119,97,216,,,,,,45.4717,9.1892
17701022,117,95,212,,,,,,#N/A,#N/A
ITE00100554,117,95,212,,,,,,45.4717,9.1892
17701023,124,92,216,,,,,,#N/A,#N/A
ITE00100554,124,92,216,,,,,,45.4717,9.1892
17701024,129,97,226,,,,,,#N/A,#N/A
ITE00100554,129,97,226,,,,,,45.4717,9.1892
17701025,130,92,222,,,,,,#N/A,#N/A
ITE00100554,130,92,222,,,,,,45.4717,9.1892
17701026,132,100,232,,,,,,#N/A,#N/A
ITE00100554,132,100,232,,,,,,45.4717,9.1892
17701027,140,110,250,,,,,,#N/A,#N/A
ITE00100554,140,110,250,,,,,,45.4717,9.1892
17701028,133,87,220,,,,,,#N/A,#N/A
ITE00100554,133,87,220,,,,,,45.4717,9.1892
17701029,115,85,200,,,,,,#N/A,#N/A
ITE00100554,115,85,200,,,,,,45.4717,9.1892
17701030,122,78,200,,,,,,#N/A,#N/A
ITE00100554,122,78,200,,,,,,45.4717,9.1892
17701031,116,96,212,,,,,,#N/A,#N/A
ITE00100554,116,96,212,,,,,,45.4717,9.1892
17701101,125,95,220,,,,,,#N/A,#N/A
ITE00100554,125,95,220,,,,,,45.4717,9.1892
17701102,127,99,226,,,,,,#N/A,#N/A
ITE00100554,127,99,226,,,,,,45.4717,9.1892
17701103,140,106,246,,,,,,#N/A,#N/A
ITE00100554,140,106,246,,,,,,45.4717,9.1892
17701104,147,105,252,,,,,,#N/A,#N/A
ITE00100554,147,105,252,,,,,,45.4717,9.1892
17701105,121,87,208,,,,,,#N/A,#N/A
ITE00100554,121,87,208,,,,,,45.4717,9.1892
17701106,121,87,208,,,,,,#N/A,#N/A
ITE00100554,121,87,208,,,,,,45.4717,9.1892
17701107,130,102,232,,,,,,#N/A,#N/A
ITE00100554,130,102,232,,,,,,45.4717,9.1892
17701108,132,106,238,,,,,,#N/A,#N/A
ITE00100554,132,106,238,,,,,,45.4717,9.1892
17701109,96,64,160,,,,,,#N/A,#N/A
ITE00100554,96,64,160,,,,,,45.4717,9.1892
17701110,103,77,180,,,,,,#N/A,#N/A
ITE00100554,103,77,180,,,,,,45.4717,9.1892
17701111,109,71,180,,,,,,#N/A,#N/A
ITE00100554,109,71,180,,,,,,45.4717,9.1892
17701112,122,84,206,,,,,,#N/A,#N/A
ITE00100554,122,84,206,,,,,,45.4717,9.1892
17701113,100,62,162,,,,,,#N/A,#N/A
ITE00100554,100,62,162,,,,,,45.4717,9.1892
17701114,94,56,150,,,,,,#N/A,#N/A
ITE00100554,94,56,150,,,,,,45.4717,9.1892
17701115,96,66,162,,,,,,#N/A,#N/A
ITE00100554,96,66,162,,,,,,45.4717,9.1892
17701116,112,76,188,,,,,,#N/A,#N/A
ITE00100554,112,76,188,,,,,,45.4717,9.1892
17701117,110,86,196,,,,,,#N/A,#N/A
ITE00100554,110,86,196,,,,,,45.4717,9.1892
17701118,105,81,186,,,,,,#N/A,#N/A
ITE00100554,105,81,186,,,,,,45.4717,9.1892
17701119,114,86,200,,,,,,#N/A,#N/A
ITE00100554,114,86,200,,,,,,45.4717,9.1892
17701120,52,36,88,,,,,,#N/A,#N/A
ITE00100554,52,36,88,,,,,,45.4717,9.1892
17701121,80,46,126,,,,,,#N/A,#N/A
ITE00100554,80,46,126,,,,,,45.4717,9.1892
17701122,48,20,68,,,,,,#N/A,#N/A
ITE00100554,48,20,68,,,,,,45.4717,9.1892
17701123,67,45,112,,,,,,#N/A,#N/A
ITE00100554,67,45,112,,,,,,45.4717,9.1892
17701124,64,48,112,,,,,,#N/A,#N/A
ITE00100554,64,48,112,,,,,,45.4717,9.1892
17701125,71,55,126,,,,,,#N/A,#N/A
ITE00100554,71,55,126,,,,,,45.4717,9.1892
17701126,64,42,106,,,,,,#N/A,#N/A
ITE00100554,64,42,106,,,,,,45.4717,9.1892
17701127,86,72,158,,,,,,#N/A,#N/A
ITE00100554,86,72,158,,,,,,45.4717,9.1892
17701128,97,71,168,,,,,,#N/A,#N/A
ITE00100554,97,71,168,,,,,,45.4717,9.1892
17701129,60,46,106,,,,,,#N/A,#N/A
ITE00100554,60,46,106,,,,,,45.4717,9.1892
17701130,99,77,176,,,,,,#N/A,#N/A
ITE00100554,99,77,176,,,,,,45.4717,9.1892
17701201,73,47,120,,,,,,#N/A,#N/A
ITE00100554,73,47,120,,,,,,45.4717,9.1892
17701202,73,53,126,,,,,,#N/A,#N/A
ITE00100554,73,53,126,,,,,,45.4717,9.1892
17701203,63,43,106,,,,,,#N/A,#N/A
ITE00100554,63,43,106,,,,,,45.4717,9.1892
17701204,70,56,126,,,,,,#N/A,#N/A
ITE00100554,70,56,126,,,,,,45.4717,9.1892
17701205,60,40,100,,,,,,#N/A,#N/A
ITE00100554,60,40,100,,,,,,45.4717,9.1892
17701206,57,33,90,,,,,,#N/A,#N/A
ITE00100554,57,33,90,,,,,,45.4717,9.1892
17701207,33,13,46,,,,,,#N/A,#N/A
ITE00100554,33,13,46,,,,,,45.4717,9.1892
17701208,33,13,46,,,,,,#N/A,#N/A
ITE00100554,33,13,46,,,,,,45.4717,9.1892
17701209,20,0,20,,,,,,#N/A,#N/A
ITE00100554,20,0,20,,,,,,45.4717,9.1892
17701210,11,-3,8,,,,,,#N/A,#N/A
ITE00100554,11,-3,8,,,,,,45.4717,9.1892
17701211,12,-12,0,,,,,,#N/A,#N/A
ITE00100554,12,-12,0,,,,,,45.4717,9.1892
17701212,-9,-29,-38,,,,,,#N/A,#N/A
ITE00100554,-9,-29,-38,,,,,,45.4717,9.1892
17701213,-9,-29,-38,,,,,,#N/A,#N/A
ITE00100554,-9,-29,-38,,,,,,45.4717,9.1892
17701214,28,8,36,,,,,,#N/A,#N/A
ITE00100554,28,8,36,,,,,,45.4717,9.1892
17701215,37,13,50,,,,,,#N/A,#N/A
ITE00100554,37,13,50,,,,,,45.4717,9.1892
17701216,26,2,28,,,,,,#N/A,#N/A
ITE00100554,26,2,28,,,,,,45.4717,9.1892
17701217,19,-1,18,,,,,,#N/A,#N/A
ITE00100554,19,-1,18,,,,,,45.4717,9.1892
17701218,18,-10,8,,,,,,#N/A,#N/A
ITE00100554,18,-10,8,,,,,,45.4717,9.1892
17701219,13,-7,6,,,,,,#N/A,#N/A
ITE00100554,13,-7,6,,,,,,45.4717,9.1892
17701220,30,2,32,,,,,,#N/A,#N/A
ITE00100554,30,2,32,,,,,,45.4717,9.1892
17701221,4,-10,-6,,,,,,#N/A,#N/A
ITE00100554,4,-10,-6,,,,,,45.4717,9.1892
17701222,7,-7,0,,,,,,#N/A,#N/A
ITE00100554,7,-7,0,,,,,,45.4717,9.1892
17701223,16,-4,12,,,,,,#N/A,#N/A
ITE00100554,16,-4,12,,,,,,45.4717,9.1892
17701224,27,-1,26,,,,,,#N/A,#N/A
ITE00100554,27,-1,26,,,,,,45.4717,9.1892
17701225,16,-4,12,,,,,,#N/A,#N/A
ITE00100554,16,-4,12,,,,,,45.4717,9.1892
17701226,16,-4,12,,,,,,#N/A,#N/A
ITE00100554,16,-4,12,,,,,,45.4717,9.1892
17701227,31,7,38,,,,,,#N/A,#N/A
ITE00100554,31,7,38,,,,,,45.4717,9.1892
17701228,35,5,40,,,,,,#N/A,#N/A
ITE00100554,35,5,40,,,,,,45.4717,9.1892
17701229,27,3,30,,,,,,#N/A,#N/A
ITE00100554,27,3,30,,,,,,45.4717,9.1892
17701230,35,11,46,,,,,,#N/A,#N/A
ITE00100554,35,11,46,,,,,,45.4717,9.1892
17701231,21,1,22,,,,,,#N/A,#N/A
ITE00100554,21,1,22,,,,,,45.4717,9.1892
Grand Total,55926,38952,94878,,,,,,#N/A,#N/A
