Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weater Stations,Longitude Instance,Latitude Instance
17660915,207,139,346,,,,,,#N/A,#N/A
ITE00100554,207,139,346,,,,,,45.4717,9.1892
17660916,203,147,350,,,,,,#N/A,#N/A
ITE00100554,203,147,350,,,,,,45.4717,9.1892
17660917,192,124,316,,,,,,#N/A,#N/A
ITE00100554,192,124,316,,,,,,45.4717,9.1892
17660918,198,132,330,,,,,,#N/A,#N/A
ITE00100554,198,132,330,,,,,,45.4717,9.1892
17660919,208,142,350,,,,,,#N/A,#N/A
ITE00100554,208,142,350,,,,,,45.4717,9.1892
17660920,209,143,352,,,,,,#N/A,#N/A
ITE00100554,209,143,352,,,,,,45.4717,9.1892
17660921,209,143,352,,,,,,#N/A,#N/A
ITE00100554,209,143,352,,,,,,45.4717,9.1892
17660922,217,153,370,,,,,,#N/A,#N/A
ITE00100554,217,153,370,,,,,,45.4717,9.1892
17660923,218,154,372,,,,,,#N/A,#N/A
ITE00100554,218,154,372,,,,,,45.4717,9.1892
17660924,231,167,398,,,,,,#N/A,#N/A
ITE00100554,231,167,398,,,,,,45.4717,9.1892
17660925,220,156,376,,,,,,#N/A,#N/A
ITE00100554,220,156,376,,,,,,45.4717,9.1892
17660926,207,145,352,,,,,,#N/A,#N/A
ITE00100554,207,145,352,,,,,,45.4717,9.1892
17660927,220,158,378,,,,,,#N/A,#N/A
ITE00100554,220,158,378,,,,,,45.4717,9.1892
17660928,176,134,310,,,,,,#N/A,#N/A
ITE00100554,176,134,310,,,,,,45.4717,9.1892
17660929,165,123,288,,,,,,#N/A,#N/A
ITE00100554,165,123,288,,,,,,45.4717,9.1892
17660930,149,121,270,,,,,,#N/A,#N/A
ITE00100554,149,121,270,,,,,,45.4717,9.1892
17661001,153,125,278,,,,,,#N/A,#N/A
ITE00100554,153,125,278,,,,,,45.4717,9.1892
17661002,164,116,280,,,,,,#N/A,#N/A
ITE00100554,164,116,280,,,,,,45.4717,9.1892
17661003,166,126,292,,,,,,#N/A,#N/A
ITE00100554,166,126,292,,,,,,45.4717,9.1892
17661004,153,105,258,,,,,,#N/A,#N/A
ITE00100554,153,105,258,,,,,,45.4717,9.1892
17661005,153,127,280,,,,,,#N/A,#N/A
ITE00100554,153,127,280,,,,,,45.4717,9.1892
17661006,168,142,310,,,,,,#N/A,#N/A
ITE00100554,168,142,310,,,,,,45.4717,9.1892
17661007,178,140,318,,,,,,#N/A,#N/A
ITE00100554,178,140,318,,,,,,45.4717,9.1892
17661008,171,145,316,,,,,,#N/A,#N/A
ITE00100554,171,145,316,,,,,,45.4717,9.1892
17661009,178,140,318,,,,,,#N/A,#N/A
ITE00100554,178,140,318,,,,,,45.4717,9.1892
17661010,168,142,310,,,,,,#N/A,#N/A
ITE00100554,168,142,310,,,,,,45.4717,9.1892
17661011,176,140,316,,,,,,#N/A,#N/A
ITE00100554,176,140,316,,,,,,45.4717,9.1892
17661012,171,135,306,,,,,,#N/A,#N/A
ITE00100554,171,135,306,,,,,,45.4717,9.1892
17661013,168,122,290,,,,,,#N/A,#N/A
ITE00100554,168,122,290,,,,,,45.4717,9.1892
17661014,152,128,280,,,,,,#N/A,#N/A
ITE00100554,152,128,280,,,,,,45.4717,9.1892
17661015,146,110,256,,,,,,#N/A,#N/A
ITE00100554,146,110,256,,,,,,45.4717,9.1892
17661016,139,87,226,,,,,,#N/A,#N/A
ITE00100554,139,87,226,,,,,,45.4717,9.1892
17661017,155,121,276,,,,,,#N/A,#N/A
ITE00100554,155,121,276,,,,,,45.4717,9.1892
17661018,130,88,218,,,,,,#N/A,#N/A
ITE00100554,130,88,218,,,,,,45.4717,9.1892
17661019,113,63,176,,,,,,#N/A,#N/A
ITE00100554,113,63,176,,,,,,45.4717,9.1892
17661020,110,70,180,,,,,,#N/A,#N/A
ITE00100554,110,70,180,,,,,,45.4717,9.1892
17661021,128,78,206,,,,,,#N/A,#N/A
ITE00100554,128,78,206,,,,,,45.4717,9.1892
17661022,149,109,258,,,,,,#N/A,#N/A
ITE00100554,149,109,258,,,,,,45.4717,9.1892
17661023,142,120,262,,,,,,#N/A,#N/A
ITE00100554,142,120,262,,,,,,45.4717,9.1892
17661024,144,106,250,,,,,,#N/A,#N/A
ITE00100554,144,106,250,,,,,,45.4717,9.1892
17661025,130,92,222,,,,,,#N/A,#N/A
ITE00100554,130,92,222,,,,,,45.4717,9.1892
17661026,139,93,232,,,,,,#N/A,#N/A
ITE00100554,139,93,232,,,,,,45.4717,9.1892
17661027,130,92,222,,,,,,#N/A,#N/A
ITE00100554,130,92,222,,,,,,45.4717,9.1892
17661028,124,94,218,,,,,,#N/A,#N/A
ITE00100554,124,94,218,,,,,,45.4717,9.1892
17661029,118,98,216,,,,,,#N/A,#N/A
ITE00100554,118,98,216,,,,,,45.4717,9.1892
17661030,140,110,250,,,,,,#N/A,#N/A
ITE00100554,140,110,250,,,,,,45.4717,9.1892
17661031,146,116,262,,,,,,#N/A,#N/A
ITE00100554,146,116,262,,,,,,45.4717,9.1892
17661101,124,104,228,,,,,,#N/A,#N/A
ITE00100554,124,104,228,,,,,,45.4717,9.1892
17661102,113,93,206,,,,,,#N/A,#N/A
ITE00100554,113,93,206,,,,,,45.4717,9.1892
17661103,130,96,226,,,,,,#N/A,#N/A
ITE00100554,130,96,226,,,,,,45.4717,9.1892
17661104,130,88,218,,,,,,#N/A,#N/A
ITE00100554,130,88,218,,,,,,45.4717,9.1892
17661105,130,88,218,,,,,,#N/A,#N/A
ITE00100554,130,88,218,,,,,,45.4717,9.1892
17661106,123,95,218,,,,,,#N/A,#N/A
ITE00100554,123,95,218,,,,,,45.4717,9.1892
17661107,112,94,206,,,,,,#N/A,#N/A
ITE00100554,112,94,206,,,,,,45.4717,9.1892
17661108,112,94,206,,,,,,#N/A,#N/A
ITE00100554,112,94,206,,,,,,45.4717,9.1892
17661109,126,100,226,,,,,,#N/A,#N/A
ITE00100554,126,100,226,,,,,,45.4717,9.1892
17661110,137,119,256,,,,,,#N/A,#N/A
ITE00100554,137,119,256,,,,,,45.4717,9.1892
17661111,128,102,230,,,,,,#N/A,#N/A
ITE00100554,128,102,230,,,,,,45.4717,9.1892
17661112,101,75,176,,,,,,#N/A,#N/A
ITE00100554,101,75,176,,,,,,45.4717,9.1892
17661113,113,95,208,,,,,,#N/A,#N/A
ITE00100554,113,95,208,,,,,,45.4717,9.1892
17661114,123,105,228,,,,,,#N/A,#N/A
ITE00100554,123,105,228,,,,,,45.4717,9.1892
17661115,137,113,250,,,,,,#N/A,#N/A
ITE00100554,137,113,250,,,,,,45.4717,9.1892
17661116,143,119,262,,,,,,#N/A,#N/A
ITE00100554,143,119,262,,,,,,45.4717,9.1892
17661117,125,101,226,,,,,,#N/A,#N/A
ITE00100554,125,101,226,,,,,,45.4717,9.1892
17661118,123,107,230,,,,,,#N/A,#N/A
ITE00100554,123,107,230,,,,,,45.4717,9.1892
17661119,117,101,218,,,,,,#N/A,#N/A
ITE00100554,117,101,218,,,,,,45.4717,9.1892
17661120,73,57,130,,,,,,#N/A,#N/A
ITE00100554,73,57,130,,,,,,45.4717,9.1892
17661121,123,107,230,,,,,,#N/A,#N/A
ITE00100554,123,107,230,,,,,,45.4717,9.1892
17661122,130,108,238,,,,,,#N/A,#N/A
ITE00100554,130,108,238,,,,,,45.4717,9.1892
17661123,127,99,226,,,,,,#N/A,#N/A
ITE00100554,127,99,226,,,,,,45.4717,9.1892
17661124,102,76,178,,,,,,#N/A,#N/A
ITE00100554,102,76,178,,,,,,45.4717,9.1892
17661125,91,59,150,,,,,,#N/A,#N/A
ITE00100554,91,59,150,,,,,,45.4717,9.1892
17661126,68,42,110,,,,,,#N/A,#N/A
ITE00100554,68,42,110,,,,,,45.4717,9.1892
17661127,82,56,138,,,,,,#N/A,#N/A
ITE00100554,82,56,138,,,,,,45.4717,9.1892
17661128,80,66,146,,,,,,#N/A,#N/A
ITE00100554,80,66,146,,,,,,45.4717,9.1892
17661129,82,56,138,,,,,,#N/A,#N/A
ITE00100554,82,56,138,,,,,,45.4717,9.1892
17661130,47,15,62,,,,,,#N/A,#N/A
ITE00100554,47,15,62,,,,,,45.4717,9.1892
17661201,56,36,92,,,,,,#N/A,#N/A
ITE00100554,56,36,92,,,,,,45.4717,9.1892
17661202,61,47,108,,,,,,#N/A,#N/A
ITE00100554,61,47,108,,,,,,45.4717,9.1892
17661203,77,53,130,,,,,,#N/A,#N/A
ITE00100554,77,53,130,,,,,,45.4717,9.1892
17661204,55,35,90,,,,,,#N/A,#N/A
ITE00100554,55,35,90,,,,,,45.4717,9.1892
17661205,62,38,100,,,,,,#N/A,#N/A
ITE00100554,62,38,100,,,,,,45.4717,9.1892
17661206,38,8,46,,,,,,#N/A,#N/A
ITE00100554,38,8,46,,,,,,45.4717,9.1892
17661207,24,4,28,,,,,,#N/A,#N/A
ITE00100554,24,4,28,,,,,,45.4717,9.1892
17661208,14,-6,8,,,,,,#N/A,#N/A
ITE00100554,14,-6,8,,,,,,45.4717,9.1892
17661209,10,-10,0,,,,,,#N/A,#N/A
ITE00100554,10,-10,0,,,,,,45.4717,9.1892
17661210,19,-1,18,,,,,,#N/A,#N/A
ITE00100554,19,-1,18,,,,,,45.4717,9.1892
17661211,38,18,56,,,,,,#N/A,#N/A
ITE00100554,38,18,56,,,,,,45.4717,9.1892
17661212,23,9,32,,,,,,#N/A,#N/A
ITE00100554,23,9,32,,,,,,45.4717,9.1892
17661213,15,1,16,,,,,,#N/A,#N/A
ITE00100554,15,1,16,,,,,,45.4717,9.1892
17661214,33,19,52,,,,,,#N/A,#N/A
ITE00100554,33,19,52,,,,,,45.4717,9.1892
17661215,35,15,50,,,,,,#N/A,#N/A
ITE00100554,35,15,50,,,,,,45.4717,9.1892
17661216,36,22,58,,,,,,#N/A,#N/A
ITE00100554,36,22,58,,,,,,45.4717,9.1892
17661217,29,9,38,,,,,,#N/A,#N/A
ITE00100554,29,9,38,,,,,,45.4717,9.1892
17661218,15,-5,10,,,,,,#N/A,#N/A
ITE00100554,15,-5,10,,,,,,45.4717,9.1892
17661219,16,-4,12,,,,,,#N/A,#N/A
ITE00100554,16,-4,12,,,,,,45.4717,9.1892
17661220,-9,-29,-38,,,,,,#N/A,#N/A
ITE00100554,-9,-29,-38,,,,,,45.4717,9.1892
17661221,20,-4,16,,,,,,#N/A,#N/A
ITE00100554,20,-4,16,,,,,,45.4717,9.1892
17661222,5,-15,-10,,,,,,#N/A,#N/A
ITE00100554,5,-15,-10,,,,,,45.4717,9.1892
17661223,10,-10,0,,,,,,#N/A,#N/A
ITE00100554,10,-10,0,,,,,,45.4717,9.1892
17661224,29,9,38,,,,,,#N/A,#N/A
ITE00100554,29,9,38,,,,,,45.4717,9.1892
17661225,40,16,56,,,,,,#N/A,#N/A
ITE00100554,40,16,56,,,,,,45.4717,9.1892
17661226,48,20,68,,,,,,#N/A,#N/A
ITE00100554,48,20,68,,,,,,45.4717,9.1892
17661227,43,19,62,,,,,,#N/A,#N/A
ITE00100554,43,19,62,,,,,,45.4717,9.1892
17661228,39,9,48,,,,,,#N/A,#N/A
ITE00100554,39,9,48,,,,,,45.4717,9.1892
17661229,33,9,42,,,,,,#N/A,#N/A
ITE00100554,33,9,42,,,,,,45.4717,9.1892
17661230,28,-2,26,,,,,,#N/A,#N/A
ITE00100554,28,-2,26,,,,,,45.4717,9.1892
17661231,29,-1,28,,,,,,#N/A,#N/A
ITE00100554,29,-1,28,,,,,,45.4717,9.1892
Grand Total,54369,37247,91616,,,,,,#N/A,#N/A
