Sum of Value,Column Labels,,,,ID,Longitude,Latitude,#Unique Weather Stations ,Longitude Instance,Latitude Instance
ITE00100554,222,178,400,,,,,,45.4717,9.1892
17650919,215,161,376,,,,,,#N/A,#N/A
ITE00100554,215,161,376,,,,,,45.4717,9.1892
17650920,206,152,358,,,,,,#N/A,#N/A
ITE00100554,206,152,358,,,,,,45.4717,9.1892
17650921,208,154,362,,,,,,#N/A,#N/A
ITE00100554,208,154,362,,,,,,45.4717,9.1892
17650922,202,138,340,,,,,,#N/A,#N/A
ITE00100554,202,138,340,,,,,,45.4717,9.1892
17650923,197,145,342,,,,,,#N/A,#N/A
ITE00100554,197,145,342,,,,,,45.4717,9.1892
17650924,195,131,326,,,,,,#N/A,#N/A
ITE00100554,195,131,326,,,,,,45.4717,9.1892
17650925,192,140,332,,,,,,#N/A,#N/A
ITE00100554,192,140,332,,,,,,45.4717,9.1892
17650926,181,119,300,,,,,,#N/A,#N/A
ITE00100554,181,119,300,,,,,,45.4717,9.1892
17650927,183,133,316,,,,,,#N/A,#N/A
ITE00100554,183,133,316,,,,,,45.4717,9.1892
17650928,197,155,352,,,,,,#N/A,#N/A
ITE00100554,197,155,352,,,,,,45.4717,9.1892
17650929,172,144,316,,,,,,#N/A,#N/A
ITE00100554,172,144,316,,,,,,45.4717,9.1892
17650930,188,138,326,,,,,,#N/A,#N/A
ITE00100554,188,138,326,,,,,,45.4717,9.1892
17651001,167,139,306,,,,,,#N/A,#N/A
ITE00100554,167,139,306,,,,,,45.4717,9.1892
17651002,177,149,326,,,,,,#N/A,#N/A
ITE00100554,177,149,326,,,,,,45.4717,9.1892
17651003,192,144,336,,,,,,#N/A,#N/A
ITE00100554,192,144,336,,,,,,45.4717,9.1892
17651004,174,116,290,,,,,,#N/A,#N/A
ITE00100554,174,116,290,,,,,,45.4717,9.1892
17651005,187,129,316,,,,,,#N/A,#N/A
ITE00100554,187,129,316,,,,,,45.4717,9.1892
17651006,207,181,388,,,,,,#N/A,#N/A
ITE00100554,207,181,388,,,,,,45.4717,9.1892
17651007,198,172,370,,,,,,#N/A,#N/A
ITE00100554,198,172,370,,,,,,45.4717,9.1892
17651008,187,131,318,,,,,,#N/A,#N/A
ITE00100554,187,131,318,,,,,,45.4717,9.1892
17651009,166,110,276,,,,,,#N/A,#N/A
ITE00100554,166,110,276,,,,,,45.4717,9.1892
17651010,176,120,296,,,,,,#N/A,#N/A
ITE00100554,176,120,296,,,,,,45.4717,9.1892
17651011,171,117,288,,,,,,#N/A,#N/A
ITE00100554,171,117,288,,,,,,45.4717,9.1892
17651012,160,116,276,,,,,,#N/A,#N/A
ITE00100554,160,116,276,,,,,,45.4717,9.1892
17651013,126,102,228,,,,,,#N/A,#N/A
ITE00100554,126,102,228,,,,,,45.4717,9.1892
17651014,131,77,208,,,,,,#N/A,#N/A
ITE00100554,131,77,208,,,,,,45.4717,9.1892
17651015,142,90,232,,,,,,#N/A,#N/A
ITE00100554,142,90,232,,,,,,45.4717,9.1892
17651016,170,118,288,,,,,,#N/A,#N/A
ITE00100554,170,118,288,,,,,,45.4717,9.1892
17651017,147,95,242,,,,,,#N/A,#N/A
ITE00100554,147,95,242,,,,,,45.4717,9.1892
17651018,157,105,262,,,,,,#N/A,#N/A
ITE00100554,157,105,262,,,,,,45.4717,9.1892
17651019,158,108,266,,,,,,#N/A,#N/A
ITE00100554,158,108,266,,,,,,45.4717,9.1892
17651020,168,118,286,,,,,,#N/A,#N/A
ITE00100554,168,118,286,,,,,,45.4717,9.1892
17651021,174,134,308,,,,,,#N/A,#N/A
ITE00100554,174,134,308,,,,,,45.4717,9.1892
17651022,167,135,302,,,,,,#N/A,#N/A
ITE00100554,167,135,302,,,,,,45.4717,9.1892
17651023,144,122,266,,,,,,#N/A,#N/A
ITE00100554,144,122,266,,,,,,45.4717,9.1892
17651024,137,115,252,,,,,,#N/A,#N/A
ITE00100554,137,115,252,,,,,,45.4717,9.1892
17651025,152,130,282,,,,,,#N/A,#N/A
ITE00100554,152,130,282,,,,,,45.4717,9.1892
17651026,149,127,276,,,,,,#N/A,#N/A
ITE00100554,149,127,276,,,,,,45.4717,9.1892
17651027,125,103,228,,,,,,#N/A,#N/A
ITE00100554,125,103,228,,,,,,45.4717,9.1892
17651028,133,95,228,,,,,,#N/A,#N/A
ITE00100554,133,95,228,,,,,,45.4717,9.1892
17651029,140,120,260,,,,,,#N/A,#N/A
ITE00100554,140,120,260,,,,,,45.4717,9.1892
17651030,163,127,290,,,,,,#N/A,#N/A
ITE00100554,163,127,290,,,,,,45.4717,9.1892
17651031,113,83,196,,,,,,#N/A,#N/A
ITE00100554,113,83,196,,,,,,45.4717,9.1892
17651101,90,46,136,,,,,,#N/A,#N/A
ITE00100554,90,46,136,,,,,,45.4717,9.1892
17651102,115,95,210,,,,,,#N/A,#N/A
ITE00100554,115,95,210,,,,,,45.4717,9.1892
17651103,136,94,230,,,,,,#N/A,#N/A
ITE00100554,136,94,230,,,,,,45.4717,9.1892
17651104,102,68,170,,,,,,#N/A,#N/A
ITE00100554,102,68,170,,,,,,45.4717,9.1892
17651105,91,71,162,,,,,,#N/A,#N/A
ITE00100554,91,71,162,,,,,,45.4717,9.1892
17651106,87,69,156,,,,,,#N/A,#N/A
ITE00100554,87,69,156,,,,,,45.4717,9.1892
17651107,97,79,176,,,,,,#N/A,#N/A
ITE00100554,97,79,176,,,,,,45.4717,9.1892
17651108,109,91,200,,,,,,#N/A,#N/A
ITE00100554,109,91,200,,,,,,45.4717,9.1892
17651109,117,99,216,,,,,,#N/A,#N/A
ITE00100554,117,99,216,,,,,,45.4717,9.1892
17651110,122,96,218,,,,,,#N/A,#N/A
ITE00100554,122,96,218,,,,,,45.4717,9.1892
17651111,115,97,212,,,,,,#N/A,#N/A
ITE00100554,115,97,212,,,,,,45.4717,9.1892
17651112,123,105,228,,,,,,#N/A,#N/A
ITE00100554,123,105,228,,,,,,45.4717,9.1892
17651113,119,101,220,,,,,,#N/A,#N/A
ITE00100554,119,101,220,,,,,,45.4717,9.1892
17651114,135,105,240,,,,,,#N/A,#N/A
ITE00100554,135,105,240,,,,,,45.4717,9.1892
17651115,130,106,236,,,,,,#N/A,#N/A
ITE00100554,130,106,236,,,,,,45.4717,9.1892
17651116,121,105,226,,,,,,#N/A,#N/A
ITE00100554,121,105,226,,,,,,45.4717,9.1892
17651117,116,100,216,,,,,,#N/A,#N/A
ITE00100554,116,100,216,,,,,,45.4717,9.1892
17651118,118,94,212,,,,,,#N/A,#N/A
ITE00100554,118,94,212,,,,,,45.4717,9.1892
17651119,103,79,182,,,,,,#N/A,#N/A
ITE00100554,103,79,182,,,,,,45.4717,9.1892
17651120,76,42,118,,,,,,#N/A,#N/A
ITE00100554,76,42,118,,,,,,45.4717,9.1892
17651121,83,55,138,,,,,,#N/A,#N/A
ITE00100554,83,55,138,,,,,,45.4717,9.1892
17651122,36,2,38,,,,,,#N/A,#N/A
ITE00100554,36,2,38,,,,,,45.4717,9.1892
17651123,21,-13,8,,,,,,#N/A,#N/A
ITE00100554,21,-13,8,,,,,,45.4717,9.1892
17651124,26,0,26,,,,,,#N/A,#N/A
ITE00100554,26,0,26,,,,,,45.4717,9.1892
17651125,31,5,36,,,,,,#N/A,#N/A
ITE00100554,31,5,36,,,,,,45.4717,9.1892
17651126,56,30,86,,,,,,#N/A,#N/A
ITE00100554,56,30,86,,,,,,45.4717,9.1892
17651127,50,18,68,,,,,,#N/A,#N/A
ITE00100554,50,18,68,,,,,,45.4717,9.1892
17651128,47,21,68,,,,,,#N/A,#N/A
ITE00100554,47,21,68,,,,,,45.4717,9.1892
17651129,36,14,50,,,,,,#N/A,#N/A
ITE00100554,36,14,50,,,,,,45.4717,9.1892
17651130,46,24,70,,,,,,#N/A,#N/A
ITE00100554,46,24,70,,,,,,45.4717,9.1892
17651201,32,6,38,,,,,,#N/A,#N/A
ITE00100554,32,6,38,,,,,,45.4717,9.1892
17651202,50,30,80,,,,,,#N/A,#N/A
ITE00100554,50,30,80,,,,,,45.4717,9.1892
17651203,52,28,80,,,,,,#N/A,#N/A
ITE00100554,52,28,80,,,,,,45.4717,9.1892
17651204,33,3,36,,,,,,#N/A,#N/A
ITE00100554,33,3,36,,,,,,45.4717,9.1892
17651205,28,-2,26,,,,,,#N/A,#N/A
ITE00100554,28,-2,26,,,,,,45.4717,9.1892
17651206,7,-17,-10,,,,,,#N/A,#N/A
ITE00100554,7,-17,-10,,,,,,45.4717,9.1892
17651207,21,1,22,,,,,,#N/A,#N/A
ITE00100554,21,1,22,,,,,,45.4717,9.1892
17651208,21,1,22,,,,,,#N/A,#N/A
ITE00100554,21,1,22,,,,,,45.4717,9.1892
17651209,41,17,58,,,,,,#N/A,#N/A
ITE00100554,41,17,58,,,,,,45.4717,9.1892
17651210,80,50,130,,,,,,#N/A,#N/A
ITE00100554,80,50,130,,,,,,45.4717,9.1892
17651211,83,63,146,,,,,,#N/A,#N/A
ITE00100554,83,63,146,,,,,,45.4717,9.1892
17651212,84,54,138,,,,,,#N/A,#N/A
ITE00100554,84,54,138,,,,,,45.4717,9.1892
17651213,25,-3,22,,,,,,#N/A,#N/A
ITE00100554,25,-3,22,,,,,,45.4717,9.1892
17651214,17,-11,6,,,,,,#N/A,#N/A
ITE00100554,17,-11,6,,,,,,45.4717,9.1892
17651215,9,-19,-10,,,,,,#N/A,#N/A
ITE00100554,9,-19,-10,,,,,,45.4717,9.1892
17651216,10,-18,-8,,,,,,#N/A,#N/A
ITE00100554,10,-18,-8,,,,,,45.4717,9.1892
17651217,4,-24,-20,,,,,,#N/A,#N/A
ITE00100554,4,-24,-20,,,,,,45.4717,9.1892
17651218,4,-24,-20,,,,,,#N/A,#N/A
ITE00100554,4,-24,-20,,,,,,45.4717,9.1892
17651219,4,-24,-20,,,,,,#N/A,#N/A
ITE00100554,4,-24,-20,,,,,,45.4717,9.1892
17651220,4,-20,-16,,,,,,#N/A,#N/A
ITE00100554,4,-20,-16,,,,,,45.4717,9.1892
17651221,17,3,20,,,,,,#N/A,#N/A
ITE00100554,17,3,20,,,,,,45.4717,9.1892
17651222,23,9,32,,,,,,#N/A,#N/A
ITE00100554,23,9,32,,,,,,45.4717,9.1892
17651223,48,28,76,,,,,,#N/A,#N/A
ITE00100554,48,28,76,,,,,,45.4717,9.1892
17651224,58,34,92,,,,,,#N/A,#N/A
ITE00100554,58,34,92,,,,,,45.4717,9.1892
17651225,37,13,50,,,,,,#N/A,#N/A
ITE00100554,37,13,50,,,,,,45.4717,9.1892
17651226,14,-6,8,,,,,,#N/A,#N/A
ITE00100554,14,-6,8,,,,,,45.4717,9.1892
17651227,-14,-34,-48,,,,,,#N/A,#N/A
ITE00100554,-14,-34,-48,,,,,,45.4717,9.1892
17651228,5,-25,-20,,,,,,#N/A,#N/A
ITE00100554,5,-25,-20,,,,,,45.4717,9.1892
17651229,-8,-38,-46,,,,,,#N/A,#N/A
ITE00100554,-8,-38,-46,,,,,,45.4717,9.1892
17651230,-9,-39,-48,,,,,,#N/A,#N/A
ITE00100554,-9,-39,-48,,,,,,45.4717,9.1892
17651231,4,-20,-16,,,,,,#N/A,#N/A
ITE00100554,4,-20,-16,,,,,,45.4717,9.1892
Grand Total,54748,38534,93282,,,,,,#N/A,#N/A
